;game;color;move;turn;timestamp
0;1;white;e4;1;0:02:53
1;1;black;c5;2;0:02:59
2;1;white;Nf3;3;0:02:52
3;1;black;Nc6;4;0:02:59
4;1;white;Nc3;5;0:02:50
5;1;black;e5;6;0:02:58
6;1;white;Bc4;7;0:02:50
7;1;black;Nf6;8;0:02:57
8;1;white;Ng5;9;0:02:48
9;1;black;Be7;10;0:02:56
10;1;white;O-O;11;0:02:44
11;1;black;d5;12;0:02:53
12;1;white;exd5;13;0:02:43
13;1;black;Nxd5;14;0:02:51
14;1;white;Nxd5;15;0:02:37
15;1;black;Bxg5;16;0:02:48
16;1;white;Qh5;17;0:02:30
17;1;black;Bf6;18;0:02:40
18;1;white;Nxf6+;19;0:02:26
19;1;black;Qxf6;20;0:02:39
20;1;white;c3;21;0:02:12
21;1;black;Qg6;22;0:02:32
22;1;white;Qxg6;23;0:02:11
23;1;black;fxg6;24;0:02:29
24;1;white;Re1;25;0:02:10
25;1;black;Na5;26;0:02:19
26;1;white;Rxe5+;27;0:02:07
27;1;black;Kd7;28;0:02:16
28;1;white;d3;29;0:01:49
29;1;black;Nxc4;30;0:02:00
30;1;white;dxc4;31;0:01:48
31;1;black;Kd6;32;0:01:53
32;1;white;Bf4;33;0:01:47
33;1;black;Bf5;34;0:01:50
34;1;white;Rd1+;35;0:01:42
35;1;black;Kc6;36;0:01:48
36;1;white;Rdd5;37;0:01:37
37;1;black;Rhe8;38;0:01:44
38;1;white;Rxc5+;39;0:01:36
39;1;black;Kb6;40;0:01:39
40;1;white;Rxe8;41;0:01:24
41;1;black;Rxe8;42;0:01:38
42;1;white;Be3;43;0:01:22
43;1;black;Ka6;44;0:01:33
44;1;white;b4;45;0:01:16
45;1;black;b6;46;0:01:30
46;1;white;Ra5+;47;0:01:12
47;1;black;bxa5;48;0:01:29
48;1;white;c5;49;0:01:08
49;1;black;axb4;50;0:01:26
50;1;white;cxb4;51;0:01:08
51;1;black;Kb5;52;0:01:25
52;1;white;a3;53;0:01:07
53;1;black;Rd8;54;0:01:20
54;1;white;h3;55;0:01:03
55;1;black;Ka4;56;0:01:14
56;1;white;g4;57;0:01:01
57;1;black;Be4;58;0:01:12
58;1;white;Bg5;59;0:00:57
59;1;black;Kxa3;60;0:01:09
60;1;white;c6;61;0:00:56
61;1;black;Rc8;62;0:01:07
62;1;white;b5;63;0:00:55
63;1;black;Kb4;64;0:01:05
64;1;white;f3;65;0:00:49
65;1;black;Bd3;66;0:01:02
66;1;white;Kf2;67;0:00:37
67;1;black;Kxb5;68;0:01:00
68;1;white;c7;69;0:00:35
69;1;black;Rxc7;70;0:00:58
70;1;white;Ke3;71;0:00:35
71;1;black;Bc4;72;0:00:55
72;1;white;f4;73;0:00:31
73;1;black;h6;74;0:00:51
74;1;white;Bd8;75;0:00:28
75;1;black;Rd7;76;0:00:50
76;1;white;Bh4;77;0:00:19
77;1;black;Kc5;78;0:00:39
78;1;white;Kf3;79;0:00:18
79;1;black;a5;80;0:00:38
80;1;white;g5;81;0:00:17
81;1;black;hxg5;82;0:00:36
82;1;white;Bxg5;83;0:00:16
83;1;black;a4;84;0:00:35
84;1;white;Bh4;85;0:00:11
85;1;black;a3;86;0:00:34
86;1;white;Be1;87;0:00:11
87;1;black;a2;88;0:00:32
88;1;white;Bc3;89;0:00:10
89;1;black;Rd3+;90;0:00:30
90;1;white;Ke2;91;0:00:07
91;1;black;Rxc3+;92;0:00:29
92;1;white;Kd2;93;0:00:06
93;1;black;Kb4;94;0:00:27
94;1;white;f5;95;0:00:04
95;1;black;gxf5;96;0:00:25
96;1;white;h4;97;0:00:04
97;1;black;a1=Q;98;0:00:23
98;1;white;h5;99;0:00:04
99;1;black;Qa2+;100;0:00:22
100;1;white;Kd1;101;0:00:03
101;1;black;Rb3;102;0:00:20
102;1;white;Kc1;103;0:00:03
103;1;black;Rb1#;104;0:00:18
104;2;white;e4;1;0:03:00
105;2;black;c6;2;0:02:59
106;2;white;d4;3;0:02:55
107;2;black;d5;4;0:02:58
108;2;white;e5;5;0:02:55
109;2;black;Bf5;6;0:02:56
110;2;white;g4;7;0:02:52
111;2;black;Qa5+;8;0:02:42
112;2;white;c3;9;0:02:50
113;2;black;Be4;10;0:02:35
114;2;white;f3;11;0:02:49
115;2;black;Bg6;12;0:02:13
116;2;white;h4;13;0:02:43
117;2;black;h5;14;0:02:12
118;2;white;f4;15;0:02:34
119;2;black;Nh6;16;0:02:07
120;2;white;f5;17;0:02:27
121;2;black;Bh7;18;0:02:06
122;2;white;g5;19;0:02:24
123;2;black;Nxf5;20;0:02:05
124;2;white;Nd2;21;0:02:14
125;2;black;e6;22;0:01:58
126;2;white;Ndf3;23;0:02:13
127;2;black;Be7;24;0:01:52
128;2;white;Be3;25;0:02:07
129;2;black;g6;26;0:01:50
130;2;white;Qd2;27;0:02:05
131;2;black;Nd7;28;0:01:49
132;2;white;a3;29;0:01:56
133;2;black;c5;30;0:01:46
134;2;white;O-O-O;31;0:01:53
135;2;black;Nxe3;32;0:01:45
136;2;white;Qxe3;33;0:01:52
137;2;black;cxd4;34;0:01:42
138;2;white;Qxd4;35;0:01:43
139;2;black;Rc8;36;0:01:35
140;2;white;Qd3;37;0:01:31
141;2;black;Bc5;38;0:01:24
142;2;white;Nd4;39;0:01:25
143;2;black;Bxd4;40;0:01:23
144;2;white;Qxd4;41;0:01:24
145;2;black;Nb6;42;0:01:20
146;2;white;Nf3;43;0:01:22
147;2;black;O-O;44;0:01:17
148;2;white;Qd3;45;0:01:19
149;2;black;Nc4;46;0:01:13
150;2;white;Nd4;47;0:01:13
151;2;black;Nxa3;48;0:01:11
152;2;white;bxa3;49;0:01:08
153;2;black;Qxa3+;50;0:01:10
154;2;white;Kd2;51;0:01:05
155;2;black;f5;52;0:01:01
156;2;white;exf6;53;0:00:53
157;2;black;Rxf6;54;0:00:58
158;2;white;gxf6;55;0:00:50
159;2;black;g5;56;0:00:57
160;2;white;Qg3;57;0:00:40
161;2;black;Rxc3;58;0:00:52
162;2;white;Qxg5+;59;0:00:38
163;2;black;Kf7;60;0:00:50
164;2;white;Qg7+;61;0:00:36
165;2;black;Ke8;62;0:00:49
166;2;white;f7+;63;0:00:32
167;2;black;Kd8;64;0:00:48
168;2;white;f8=Q+;65;0:00:29
169;2;black;Qxf8;66;0:00:47
170;2;white;Qxf8+;67;0:00:27
171;2;black;Kd7;68;0:00:47
172;2;white;Qf7+;69;0:00:24
173;2;black;Kd6;70;0:00:45
174;2;white;Nb5+;71;0:00:20
175;2;black;Ke5;72;0:00:43
176;2;white;Nxc3;73;0:00:19
177;2;black;Kd4;74;0:00:43
178;2;white;Qxh7;75;0:00:17
179;2;black;b6;76;0:00:41
180;2;white;Qd3+;77;0:00:14
181;2;black;Kc5;78;0:00:40
182;2;white;Rc1;79;0:00:09
183;2;black;a5;80;0:00:40
184;2;white;Na2+;81;0:00:07
185;2;black;Kd6;82;0:00:39
186;2;white;Qa6;83;0:00:04
187;2;black;a4;84;0:00:39
188;2;white;Qxb6+;85;0:00:03
189;2;black;Ke7;86;0:00:38
190;2;white;Rc7+;87;0:00:02
191;2;black;Kf6;88;0:00:38
192;2;white;Rg1;89;0:00:01
193;2;black;Ke5;90;0:00:38
194;2;white;Be2;91;0:00:00
195;2;black;a3;92;0:00:38
196;3;white;e4;1;0:09:58
197;3;black;e5;2;0:09:57
198;3;white;Nf3;3;0:09:53
199;3;black;Nc6;4;0:09:54
200;3;white;Bc4;5;0:09:52
201;3;black;Bc5;6;0:09:46
202;3;white;Ng5;7;0:09:48
203;3;black;Qxg5;8;0:09:43
204;3;white;d4;9;0:09:47
205;3;black;Bxd4;10;0:09:13
206;3;white;Bxg5;11;0:09:45
207;3;black;Bxb2;12;0:08:55
208;3;white;Nd2;13;0:08:51
209;3;black;Bxa1;14;0:07:54
210;3;white;Qxa1;15;0:08:42
211;3;black;Nd4;16;0:07:53
212;3;white;Qc3;17;0:08:08
213;3;black;h6;18;0:07:37
214;3;white;Qb4;19;0:07:27
215;3;black;Nxc2+;20;0:07:31
216;3;white;Ke2;21;0:07:21
217;3;black;Nxb4;22;0:07:30
218;3;white;Rc1;23;0:07:12
219;3;black;hxg5;24;0:07:22
220;3;white;a3;25;0:07:07
221;3;black;Nc6;26;0:07:17
222;3;white;Ke3;27;0:07:03
223;3;black;d6;28;0:07:14
