"X";"game";"player";"color";"move";"turn"
0;1;"Rodriguez, Andres";"White";"e4";1
1;1;"Sasikiran, Krishnan";"Black";"e5";2
2;1;"Rodriguez, Andres";"White";"Nf3";3
3;1;"Sasikiran, Krishnan";"Black";"Nc6";4
4;1;"Rodriguez, Andres";"White";"Bc4";5
5;1;"Sasikiran, Krishnan";"Black";"Bc5";6
6;1;"Rodriguez, Andres";"White";"c3";7
7;1;"Sasikiran, Krishnan";"Black";"Nf6";8
8;1;"Rodriguez, Andres";"White";"d3";9
9;1;"Sasikiran, Krishnan";"Black";"a6";10
46;2;"Sanduleac, Vasile";"White";"e4";1
47;2;"Braga, Fernando";"Black";"e5";2
48;2;"Sanduleac, Vasile";"White";"Nf3";3
49;2;"Braga, Fernando";"Black";"Nc6";4
50;2;"Sanduleac, Vasile";"White";"Bc4";5
51;2;"Braga, Fernando";"Black";"Bc5";6
52;2;"Sanduleac, Vasile";"White";"c3";7
53;2;"Braga, Fernando";"Black";"Nf6";8
54;2;"Sanduleac, Vasile";"White";"d3";9
55;2;"Braga, Fernando";"Black";"a6";10
151;3;"Cubas, Jose Fernando";"White";"e4";1
152;3;"Oms Pallise, Josep";"Black";"e5";2
153;3;"Cubas, Jose Fernando";"White";"Nf3";3
154;3;"Oms Pallise, Josep";"Black";"Nc6";4
155;3;"Cubas, Jose Fernando";"White";"Bc4";5
156;3;"Oms Pallise, Josep";"Black";"Bc5";6
157;3;"Cubas, Jose Fernando";"White";"c3";7
158;3;"Oms Pallise, Josep";"Black";"Nf6";8
159;3;"Cubas, Jose Fernando";"White";"d3";9
160;3;"Oms Pallise, Josep";"Black";"d6";10
208;4;"Rohl, Juan";"White";"e4";1
209;4;"Moldobaev, Emelbek";"Black";"e5";2
210;4;"Rohl, Juan";"White";"Nf3";3
211;4;"Moldobaev, Emelbek";"Black";"Nc6";4
212;4;"Rohl, Juan";"White";"Bc4";5
213;4;"Moldobaev, Emelbek";"Black";"Bc5";6
214;4;"Rohl, Juan";"White";"c3";7
215;4;"Moldobaev, Emelbek";"Black";"Nf6";8
216;4;"Rohl, Juan";"White";"d3";9
217;4;"Moldobaev, Emelbek";"Black";"d6";10
274;5;"Pukkila, Markku";"White";"e4";1
275;5;"Sorin, Ariel";"Black";"e5";2
276;5;"Pukkila, Markku";"White";"Nf3";3
277;5;"Sorin, Ariel";"Black";"Nc6";4
278;5;"Pukkila, Markku";"White";"Bc4";5
279;5;"Sorin, Ariel";"Black";"Bc5";6
280;5;"Pukkila, Markku";"White";"c3";7
281;5;"Sorin, Ariel";"Black";"Nf6";8
282;5;"Pukkila, Markku";"White";"d3";9
283;5;"Sorin, Ariel";"Black";"a6";10
362;6;"Felgaer, Ruben";"White";"e4";1
363;6;"Aleksandrov, Aleksej";"Black";"e5";2
364;6;"Felgaer, Ruben";"White";"Nf3";3
365;6;"Aleksandrov, Aleksej";"Black";"Nc6";4
366;6;"Felgaer, Ruben";"White";"Bc4";5
367;6;"Aleksandrov, Aleksej";"Black";"Bc5";6
368;6;"Felgaer, Ruben";"White";"c3";7
369;6;"Aleksandrov, Aleksej";"Black";"Nf6";8
370;6;"Felgaer, Ruben";"White";"d3";9
371;6;"Aleksandrov, Aleksej";"Black";"a6";10
396;7;"Sebag, Marie";"White";"e4";1
397;7;"Leite, Catarina";"Black";"e5";2
398;7;"Sebag, Marie";"White";"Nf3";3
399;7;"Leite, Catarina";"Black";"Nc6";4
400;7;"Sebag, Marie";"White";"Bc4";5
401;7;"Leite, Catarina";"Black";"Bc5";6
402;7;"Sebag, Marie";"White";"c3";7
403;7;"Leite, Catarina";"Black";"Nf6";8
404;7;"Sebag, Marie";"White";"d3";9
405;7;"Leite, Catarina";"Black";"d6";10
495;8;"Eid, Eva";"White";"e4";1
496;8;"Ortiz, Nadya Karolina";"Black";"e5";2
497;8;"Eid, Eva";"White";"Bc4";3
498;8;"Ortiz, Nadya Karolina";"Black";"Bc5";4
499;8;"Eid, Eva";"White";"Nf3";5
500;8;"Ortiz, Nadya Karolina";"Black";"Nc6";6
501;8;"Eid, Eva";"White";"c3";7
502;8;"Ortiz, Nadya Karolina";"Black";"Nf6";8
503;8;"Eid, Eva";"White";"d3";9
504;8;"Ortiz, Nadya Karolina";"Black";"d6";10
570;9;"Jackova, Jana";"White";"e4";1
571;9;"Senanayaka, P.R";"Black";"e5";2
572;9;"Jackova, Jana";"White";"Nf3";3
573;9;"Senanayaka, P.R";"Black";"Nc6";4
574;9;"Jackova, Jana";"White";"d4";5
575;9;"Senanayaka, P.R";"Black";"exd4";6
576;9;"Jackova, Jana";"White";"Bc4";7
577;9;"Senanayaka, P.R";"Black";"Bc5";8
578;9;"Jackova, Jana";"White";"c3";9
579;9;"Senanayaka, P.R";"Black";"Nf6";10
633;10;"Houska, Jovanka";"White";"e4";1
634;10;"Vijayalakshmi, Subbaraman";"Black";"e5";2
635;10;"Houska, Jovanka";"White";"Nf3";3
636;10;"Vijayalakshmi, Subbaraman";"Black";"Nc6";4
637;10;"Houska, Jovanka";"White";"Bc4";5
638;10;"Vijayalakshmi, Subbaraman";"Black";"Bc5";6
639;10;"Houska, Jovanka";"White";"c3";7
