"X";"game";"player";"color";"move";"turn"
0;1;"Fischer, Robert J";"White";"e4";1
1;1;"Euwe, Max";"Black";"c6";2
2;1;"Fischer, Robert J";"White";"d4";3
3;1;"Euwe, Max";"Black";"d5";4
4;1;"Fischer, Robert J";"White";"exd5";5
5;1;"Euwe, Max";"Black";"cxd5";6
6;1;"Fischer, Robert J";"White";"c4";7
7;1;"Euwe, Max";"Black";"Nf6";8
8;1;"Fischer, Robert J";"White";"Nc3";9
9;1;"Euwe, Max";"Black";"Nc6";10
71;2;"Glek, Igor V";"White";"e4";1
72;2;"Kallai, Gabor";"Black";"c6";2
73;2;"Glek, Igor V";"White";"c4";3
74;2;"Kallai, Gabor";"Black";"d5";4
75;2;"Glek, Igor V";"White";"exd5";5
76;2;"Kallai, Gabor";"Black";"cxd5";6
77;2;"Glek, Igor V";"White";"cxd5";7
78;2;"Kallai, Gabor";"Black";"Nf6";8
79;2;"Glek, Igor V";"White";"Nc3";9
80;2;"Kallai, Gabor";"Black";"Nxd5";10
174;3;"Adams, Michael";"White";"e4";1
175;3;"Doettling, Fabian";"Black";"c6";2
176;3;"Adams, Michael";"White";"d4";3
177;3;"Doettling, Fabian";"Black";"d5";4
178;3;"Adams, Michael";"White";"exd5";5
179;3;"Doettling, Fabian";"Black";"cxd5";6
180;3;"Adams, Michael";"White";"c4";7
181;3;"Doettling, Fabian";"Black";"Nf6";8
182;3;"Adams, Michael";"White";"Nc3";9
183;3;"Doettling, Fabian";"Black";"e6";10
229;4;"Agrest, Evgenij";"White";"e4";1
230;4;"Akesson, Ralf";"Black";"c6";2
231;4;"Agrest, Evgenij";"White";"c4";3
232;4;"Akesson, Ralf";"Black";"d5";4
233;4;"Agrest, Evgenij";"White";"exd5";5
234;4;"Akesson, Ralf";"Black";"cxd5";6
235;4;"Agrest, Evgenij";"White";"cxd5";7
236;4;"Akesson, Ralf";"Black";"Nf6";8
237;4;"Agrest, Evgenij";"White";"Nc3";9
238;4;"Akesson, Ralf";"Black";"Nxd5";10
315;5;"Spassky, Boris V";"White";"e4";1
316;5;"Petrosian, Tigran V";"Black";"c6";2
317;5;"Spassky, Boris V";"White";"d4";3
318;5;"Petrosian, Tigran V";"Black";"d5";4
319;5;"Spassky, Boris V";"White";"exd5";5
320;5;"Petrosian, Tigran V";"Black";"cxd5";6
321;5;"Spassky, Boris V";"White";"c4";7
322;5;"Petrosian, Tigran V";"Black";"Nf6";8
323;5;"Spassky, Boris V";"White";"Nc3";9
324;5;"Petrosian, Tigran V";"Black";"e6";10
401;6;"Spassky, Boris V";"White";"e4";1
402;6;"Petrosian, Tigran V";"Black";"c6";2
403;6;"Spassky, Boris V";"White";"d4";3
404;6;"Petrosian, Tigran V";"Black";"d5";4
405;6;"Spassky, Boris V";"White";"exd5";5
406;6;"Petrosian, Tigran V";"Black";"cxd5";6
407;6;"Spassky, Boris V";"White";"c4";7
408;6;"Petrosian, Tigran V";"Black";"Nf6";8
409;6;"Spassky, Boris V";"White";"Nc3";9
410;6;"Petrosian, Tigran V";"Black";"g6";10
559;7;"Spassky, Boris V";"White";"e4";1
560;7;"Petrosian, Tigran V";"Black";"c6";2
561;7;"Spassky, Boris V";"White";"d4";3
562;7;"Petrosian, Tigran V";"Black";"d5";4
563;7;"Spassky, Boris V";"White";"exd5";5
564;7;"Petrosian, Tigran V";"Black";"cxd5";6
565;7;"Spassky, Boris V";"White";"c4";7
566;7;"Petrosian, Tigran V";"Black";"Nf6";8
567;7;"Spassky, Boris V";"White";"Nc3";9
568;7;"Petrosian, Tigran V";"Black";"e6";10
895;11;"Cherniaev, Alexander";"White";"e4";1
896;11;"Fridman, Daniel";"Black";"c6";2
897;11;"Cherniaev, Alexander";"White";"d4";3
898;11;"Fridman, Daniel";"Black";"d5";4
899;11;"Cherniaev, Alexander";"White";"exd5";5
900;11;"Fridman, Daniel";"Black";"cxd5";6
901;11;"Cherniaev, Alexander";"White";"c4";7
902;11;"Fridman, Daniel";"Black";"Nf6";8
903;11;"Cherniaev, Alexander";"White";"Nc3";9
904;11;"Fridman, Daniel";"Black";"Nc6";10
922;12;"Keitlinghaus, Ludger";"White";"e4";1
923;12;"Fuhrmann, Daniel";"Black";"c6";2
