"X";"game";"player";"color";"move";"turn";"date"
0;1;"Alfons2357";"White";"e4";1;1970-01-02
1;1;"shreyassikchi";"Black";"c5";2;1970-01-03
2;1;"Alfons2357";"White";"Nf3";3;1970-01-04
3;1;"shreyassikchi";"Black";"Nc6";4;1970-01-05
4;1;"Alfons2357";"White";"Nc3";5;1970-01-06
5;1;"shreyassikchi";"Black";"e5";6;1970-01-07
6;1;"Alfons2357";"White";"Bc4";7;1970-01-08
7;1;"shreyassikchi";"Black";"Nf6";8;1970-01-09
8;1;"Alfons2357";"White";"Ng5";9;1970-01-10
9;1;"shreyassikchi";"Black";"Be7";10;1970-01-11
104;2;"BigMekNiko";"White";"e4";1;1970-01-12
105;2;"Alfons2357";"Black";"c6";2;1970-01-13
106;2;"BigMekNiko";"White";"d4";3;1970-01-14
107;2;"Alfons2357";"Black";"d5";4;1970-01-15
108;2;"BigMekNiko";"White";"e5";5;1970-01-16
109;2;"Alfons2357";"Black";"Bf5";6;1970-01-17
110;2;"BigMekNiko";"White";"g4";7;1970-01-18
111;2;"Alfons2357";"Black";"Qa5+";8;1970-01-19
112;2;"BigMekNiko";"White";"c3";9;1970-01-20
113;2;"Alfons2357";"Black";"Be4";10;1970-01-21
196;3;"Alfons2357";"White";"e4";1;1970-01-22
197;3;"karpinsky";"Black";"e5";2;1970-01-23
198;3;"Alfons2357";"White";"Nf3";3;1970-01-24
199;3;"karpinsky";"Black";"Nc6";4;1970-01-25
200;3;"Alfons2357";"White";"Bc4";5;1970-01-26
201;3;"karpinsky";"Black";"Bc5";6;1970-01-27
202;3;"Alfons2357";"White";"Ng5";7;1970-01-28
203;3;"karpinsky";"Black";"Qxg5";8;1970-01-29
204;3;"Alfons2357";"White";"d4";9;1970-01-30
205;3;"karpinsky";"Black";"Bxd4";10;1970-01-31
256;4;"Alfons2357";"White";"e4";1;1970-02-01
257;4;"frappuccino1999";"Black";"e5";2;1970-02-02
258;4;"Alfons2357";"White";"Nf3";3;1970-02-03
259;4;"frappuccino1999";"Black";"Nf6";4;1970-02-04
260;4;"Alfons2357";"White";"Nc3";5;1970-02-05
261;4;"frappuccino1999";"Black";"Bb4";6;1970-02-06
262;4;"Alfons2357";"White";"Bc4";7;1970-02-07
263;4;"frappuccino1999";"Black";"O-O";8;1970-02-08
264;4;"Alfons2357";"White";"d3";9;1970-02-09
265;4;"frappuccino1999";"Black";"Nc6";10;1970-02-10
310;5;"Alfons2357";"White";"e4";1;1970-02-11
311;5;"stomic";"Black";"e5";2;1970-02-12
312;5;"Alfons2357";"White";"Nf3";3;1970-02-13
313;5;"stomic";"Black";"Nc6";4;1970-02-14
314;5;"Alfons2357";"White";"Bb5";5;1970-02-15
315;5;"stomic";"Black";"Nf6";6;1970-02-16
316;5;"Alfons2357";"White";"O-O";7;1970-02-17
317;5;"stomic";"Black";"Nxe4";8;1970-02-18
318;5;"Alfons2357";"White";"d3";9;1970-02-19
319;5;"stomic";"Black";"Nf6";10;1970-02-20
410;7;"seref789";"White";"e4";1;1970-02-21
411;7;"Alfons2357";"Black";"c6";2;1970-02-22
412;7;"seref789";"White";"d4";3;1970-02-23
413;7;"Alfons2357";"Black";"d5";4;1970-02-24
414;7;"seref789";"White";"e5";5;1970-02-25
415;7;"Alfons2357";"Black";"Bf5";6;1970-02-26
416;7;"seref789";"White";"f4";7;1970-02-27
417;7;"Alfons2357";"Black";"e6";8;1970-02-28
418;7;"seref789";"White";"Nf3";9;1970-03-01
419;7;"Alfons2357";"Black";"c5";10;1970-03-02
512;8;"Alfons2357";"White";"e4";1;1970-03-03
513;8;"Luke123113";"Black";"d6";2;1970-03-04
514;8;"Alfons2357";"White";"Nf3";3;1970-03-05
515;8;"Luke123113";"Black";"Nf6";4;1970-03-06
516;8;"Alfons2357";"White";"e5";5;1970-03-07
517;8;"Luke123113";"Black";"dxe5";6;1970-03-08
518;8;"Alfons2357";"White";"Nxe5";7;1970-03-09
519;8;"Luke123113";"Black";"g6";8;1970-03-10
520;8;"Alfons2357";"White";"c4";9;1970-03-11
521;8;"Luke123113";"Black";"Bg7";10;1970-03-12
684;9;"Alfons2357";"White";"e4";1;1970-03-13
685;9;"Wildur";"Black";"e5";2;1970-03-14
686;9;"Alfons2357";"White";"Nc3";3;1970-03-15
687;9;"Wildur";"Black";"Nf6";4;1970-03-16
688;9;"Alfons2357";"White";"Bc4";5;1970-03-17
689;9;"Wildur";"Black";"d6";6;1970-03-18
