,game,player,color,move,turn,timestamp
0,1,Alfons2357,White,e4,1,0:01:45
1,1,shreyassikchi,Black,c5,2,0:02:27
2,1,Alfons2357,White,Nf3,3,0:01:48
3,1,shreyassikchi,Black,Nc6,4,0:02:27
4,1,Alfons2357,White,Nc3,5,0:01:53
5,1,shreyassikchi,Black,e5,6,0:02:29
6,1,Alfons2357,White,Bc4,7,0:01:56
7,1,shreyassikchi,Black,Nf6,8,0:02:30
8,1,Alfons2357,White,Ng5,9,0:01:58
9,1,shreyassikchi,Black,Be7,10,0:02:31
10,1,Alfons2357,White,O-O,11,0:01:59
11,1,shreyassikchi,Black,d5,12,0:02:32
12,1,Alfons2357,White,exd5,13,0:02:01
13,1,shreyassikchi,Black,Nxd5,14,0:02:33
14,1,Alfons2357,White,Nxd5,15,0:02:03
15,1,shreyassikchi,Black,Bxg5,16,0:02:35
16,1,Alfons2357,White,Qh5,17,0:02:18
17,1,shreyassikchi,Black,Bf6,18,0:02:37
18,1,Alfons2357,White,Nxf6+,19,0:02:22
19,1,shreyassikchi,Black,Qxf6,20,0:02:39
20,1,Alfons2357,White,c3,21,0:02:38
21,1,shreyassikchi,Black,Qg6,22,0:02:41
22,1,Alfons2357,White,Qxg6,23,0:02:39
23,1,shreyassikchi,Black,fxg6,24,0:02:42
24,1,Alfons2357,White,Re1,25,0:02:42
25,1,shreyassikchi,Black,Na5,26,0:02:43
26,1,Alfons2357,White,Rxe5+,27,0:02:43
27,1,shreyassikchi,Black,Kd7,28,0:02:46
28,1,Alfons2357,White,d3,29,0:02:45
29,1,shreyassikchi,Black,Nxc4,30,0:02:47
30,1,Alfons2357,White,dxc4,31,0:02:46
31,1,shreyassikchi,Black,Kd6,32,0:02:51
32,1,Alfons2357,White,Bf4,33,0:02:47
33,1,shreyassikchi,Black,Bf5,34,0:02:53
34,1,Alfons2357,White,Rd1+,35,0:02:50
35,1,shreyassikchi,Black,Kc6,36,0:02:56
36,1,Alfons2357,White,Rdd5,37,0:02:51
37,1,shreyassikchi,Black,Rhe8,38,0:02:59
38,1,Alfons2357,White,Rxc5+,39,0:02:58
39,1,shreyassikchi,Black,Kb6,40,0:02:59
40,1,Alfons2357,White,Rxe8,41,0:02:59
41,1,shreyassikchi,Black,Rxe8,42,0:03:00
42,1,Alfons2357,White,Be3,43,0:03:00
43,1,shreyassikchi,Black,Ka6,44,0:00:50
44,1,Alfons2357,White,b4,45,0:00:36
45,1,shreyassikchi,Black,b6,46,0:00:56
46,1,Alfons2357,White,Ra5+,47,0:00:43
47,1,shreyassikchi,Black,bxa5,48,0:01:02
48,1,Alfons2357,White,c5,49,0:00:47
49,1,shreyassikchi,Black,axb4,50,0:01:07
50,1,Alfons2357,White,cxb4,51,0:01:06
51,1,shreyassikchi,Black,Kb5,52,0:01:15
52,1,Alfons2357,White,a3,53,0:01:09
53,1,shreyassikchi,Black,Rd8,54,0:01:17
54,1,Alfons2357,White,h3,55,0:01:15
55,1,shreyassikchi,Black,Ka4,56,0:01:23
56,1,Alfons2357,White,g4,57,0:01:16
57,1,shreyassikchi,Black,Be4,58,0:01:25
58,1,Alfons2357,White,Bg5,59,0:01:29
