,game,player,color,move,turn
0,1,Fischer Robert J (USA),White,e4,1
1,1,Spassky Boris V (FRA),Black,e5,2
2,1,Fischer Robert J (USA),White,Nf3,3
3,1,Spassky Boris V (FRA),Black,Nc6,4
4,1,Fischer Robert J (USA),White,Bb5,5
5,1,Spassky Boris V (FRA),Black,a6,6
6,1,Fischer Robert J (USA),White,Ba4,7
7,1,Spassky Boris V (FRA),Black,Nf6,8
8,1,Fischer Robert J (USA),White,O-O,9
9,1,Spassky Boris V (FRA),Black,Be7,10
10,1,Fischer Robert J (USA),White,Re1,11
11,1,Spassky Boris V (FRA),Black,b5,12
12,1,Fischer Robert J (USA),White,Bb3,13
13,1,Spassky Boris V (FRA),Black,d6,14
14,1,Fischer Robert J (USA),White,c3,15
15,1,Spassky Boris V (FRA),Black,O-O,16
16,1,Fischer Robert J (USA),White,h3,17
17,1,Spassky Boris V (FRA),Black,Nb8,18
18,1,Fischer Robert J (USA),White,d4,19
19,1,Spassky Boris V (FRA),Black,Nbd7,20
20,1,Fischer Robert J (USA),White,Nbd2,21
21,1,Spassky Boris V (FRA),Black,Bb7,22
22,1,Fischer Robert J (USA),White,Bc2,23
23,1,Spassky Boris V (FRA),Black,Re8,24
24,1,Fischer Robert J (USA),White,Nf1,25
25,1,Spassky Boris V (FRA),Black,Bf8,26
26,1,Fischer Robert J (USA),White,Ng3,27
27,1,Spassky Boris V (FRA),Black,g6,28
28,1,Fischer Robert J (USA),White,Bg5,29
29,1,Spassky Boris V (FRA),Black,h6,30
30,1,Fischer Robert J (USA),White,Bd2,31
31,1,Spassky Boris V (FRA),Black,exd4,32
32,1,Fischer Robert J (USA),White,cxd4,33
33,1,Spassky Boris V (FRA),Black,c5,34
34,1,Fischer Robert J (USA),White,d5,35
35,1,Spassky Boris V (FRA),Black,Nb6,36
36,1,Fischer Robert J (USA),White,Ba5,37
37,1,Spassky Boris V (FRA),Black,Nfd7,38
38,1,Fischer Robert J (USA),White,b3,39
39,1,Spassky Boris V (FRA),Black,Bg7,40
40,1,Fischer Robert J (USA),White,Rc1,41
41,1,Spassky Boris V (FRA),Black,Qf6,42
42,1,Fischer Robert J (USA),White,Rb1,43
43,1,Spassky Boris V (FRA),Black,b4,44
44,1,Fischer Robert J (USA),White,Ne2,45
45,1,Spassky Boris V (FRA),Black,Qe7,46
46,1,Fischer Robert J (USA),White,a3,47
47,1,Spassky Boris V (FRA),Black,bxa3,48
48,1,Fischer Robert J (USA),White,Bc3,49
49,1,Spassky Boris V (FRA),Black,f5,50
50,1,Fischer Robert J (USA),White,Bxg7,51
51,1,Spassky Boris V (FRA),Black,Qxg7,52
52,1,Fischer Robert J (USA),White,Nf4,53
53,1,Spassky Boris V (FRA),Black,fxe4,54
54,1,Fischer Robert J (USA),White,Nh4,55
55,1,Spassky Boris V (FRA),Black,g5,56
56,1,Fischer Robert J (USA),White,Ne6,57
57,1,Spassky Boris V (FRA),Black,Qf6,58
58,1,Fischer Robert J (USA),White,Qg4,59
59,1,Spassky Boris V (FRA),Black,Nxd5,60
60,1,Fischer Robert J (USA),White,Nxg5,61
61,1,Spassky Boris V (FRA),Black,hxg5,62
62,1,Fischer Robert J (USA),White,Qxd7,63
63,1,Spassky Boris V (FRA),Black,Nb4,64
64,1,Fischer Robert J (USA),White,Qxb7,65
65,1,Spassky Boris V (FRA),Black,Nxc2,66
66,1,Fischer Robert J (USA),White,Rxe4,67
67,1,Spassky Boris V (FRA),Black,a2,68
68,1,Fischer Robert J (USA),White,Rf1,69
69,1,Spassky Boris V (FRA),Black,Nb4,70
70,1,Fischer Robert J (USA),White,Rg4,71
71,1,Spassky Boris V (FRA),Black,a1=Q,72
72,1,Fischer Robert J (USA),White,Rxa1,73
