"game";"player";"color";"move";"turn"
2;"Fischer Robert J (USA)";"Black";"Nf6";2
2;"Fischer Robert J (USA)";"Black";"g6";4
2;"Fischer Robert J (USA)";"Black";"Bg7";6
2;"Fischer Robert J (USA)";"Black";"d6";8
2;"Fischer Robert J (USA)";"Black";"c5";10
2;"Fischer Robert J (USA)";"Black";"dxc5";12
2;"Fischer Robert J (USA)";"Black";"Kxd8";14
2;"Fischer Robert J (USA)";"Black";"Nfd7";16
2;"Fischer Robert J (USA)";"Black";"b6";18
2;"Fischer Robert J (USA)";"Black";"Na6";20
3;"Fischer Robert J (USA)";"Black";"d5";2
3;"Fischer Robert J (USA)";"Black";"dxc4";4
3;"Fischer Robert J (USA)";"Black";"Nf6";6
3;"Fischer Robert J (USA)";"Black";"e6";8
3;"Fischer Robert J (USA)";"Black";"c5";10
3;"Fischer Robert J (USA)";"Black";"a6";12
3;"Fischer Robert J (USA)";"Black";"Qxd1";14
3;"Fischer Robert J (USA)";"Black";"Bxc5";16
3;"Fischer Robert J (USA)";"Black";"Nbd7";18
3;"Fischer Robert J (USA)";"Black";"b6";20
4;"Fischer Robert J (USA)";"Black";"d5";2
4;"Fischer Robert J (USA)";"Black";"dxc4";4
4;"Fischer Robert J (USA)";"Black";"Nf6";6
4;"Fischer Robert J (USA)";"Black";"e6";8
4;"Fischer Robert J (USA)";"Black";"c5";10
4;"Fischer Robert J (USA)";"Black";"a6";12
4;"Fischer Robert J (USA)";"Black";"Qxd1";14
4;"Fischer Robert J (USA)";"Black";"Bxc5";16
4;"Fischer Robert J (USA)";"Black";"Nbd7";18
4;"Fischer Robert J (USA)";"Black";"b5";20
5;"Fischer Robert J (USA)";"Black";"Nf6";2
5;"Fischer Robert J (USA)";"Black";"g6";4
5;"Fischer Robert J (USA)";"Black";"Bg7";6
5;"Fischer Robert J (USA)";"Black";"d6";8
5;"Fischer Robert J (USA)";"Black";"O-O";10
5;"Fischer Robert J (USA)";"Black";"Nc6";12
5;"Fischer Robert J (USA)";"Black";"a6";14
5;"Fischer Robert J (USA)";"Black";"Rb8";16
5;"Fischer Robert J (USA)";"Black";"h5";18
5;"Fischer Robert J (USA)";"Black";"e5";20
6;"Fischer Robert J (USA)";"Black";"Nf6";2
6;"Fischer Robert J (USA)";"Black";"e6";4
6;"Fischer Robert J (USA)";"Black";"Bb4";6
6;"Fischer Robert J (USA)";"Black";"d5";8
6;"Fischer Robert J (USA)";"Black";"exd5";10
6;"Fischer Robert J (USA)";"Black";"h6";12
6;"Fischer Robert J (USA)";"Black";"c5";14
6;"Fischer Robert J (USA)";"Black";"Nc6";16
6;"Fischer Robert J (USA)";"Black";"g5";18
6;"Fischer Robert J (USA)";"Black";"Qa5";20
7;"Fischer Robert J (USA)";"Black";"Nf6";2
7;"Fischer Robert J (USA)";"Black";"g6";4
7;"Fischer Robert J (USA)";"Black";"Bg7";6
7;"Fischer Robert J (USA)";"Black";"d6";8
7;"Fischer Robert J (USA)";"Black";"O-O";10
7;"Fischer Robert J (USA)";"Black";"Nc6";12
7;"Fischer Robert J (USA)";"Black";"a6";14
7;"Fischer Robert J (USA)";"Black";"h5";16
7;"Fischer Robert J (USA)";"Black";"e5";18
7;"Fischer Robert J (USA)";"Black";"Ne7";20
8;"Fischer Robert J (USA)";"Black";"d5";2
8;"Fischer Robert J (USA)";"Black";"dxc4";4
8;"Fischer Robert J (USA)";"Black";"Nf6";6
8;"Fischer Robert J (USA)";"Black";"e6";8
8;"Fischer Robert J (USA)";"Black";"c5";10
8;"Fischer Robert J (USA)";"Black";"a6";12
8;"Fischer Robert J (USA)";"Black";"Qxd1";14
8;"Fischer Robert J (USA)";"Black";"Bxc5";16
8;"Fischer Robert J (USA)";"Black";"b5";18
8;"Fischer Robert J (USA)";"Black";"Bb7";20
9;"Fischer Robert J (USA)";"Black";"Nf6";2
9;"Fischer Robert J (USA)";"Black";"c5";4
9;"Fischer Robert J (USA)";"Black";"d6";6
9;"Fischer Robert J (USA)";"Black";"g6";8
9;"Fischer Robert J (USA)";"Black";"Bg7";10
9;"Fischer Robert J (USA)";"Black";"h6";12
9;"Fischer Robert J (USA)";"Black";"g5";14
9;"Fischer Robert J (USA)";"Black";"Qa5";16
9;"Fischer Robert J (USA)";"Black";"Nxe4";18
9;"Fischer Robert J (USA)";"Black";"Bxc3+";20
10;"Fischer Robert J (USA)";"Black";"d5";2
10;"Fischer Robert J (USA)";"Black";"dxc4";4
10;"Fischer Robert J (USA)";"Black";"a6";6
10;"Fischer Robert J (USA)";"Black";"Nf6";8
10;"Fischer Robert J (USA)";"Black";"e6";10
10;"Fischer Robert J (USA)";"Black";"c5";12
10;"Fischer Robert J (USA)";"Black";"Qxd1";14
10;"Fischer Robert J (USA)";"Black";"Bxc5";16
10;"Fischer Robert J (USA)";"Black";"O-O";18
10;"Fischer Robert J (USA)";"Black";"b5";20
13;"Fischer Robert J (USA)";"Black";"c5";2
13;"Fischer Robert J (USA)";"Black";"g6";4
13;"Fischer Robert J (USA)";"Black";"Bg7";6
13;"Fischer Robert J (USA)";"Black";"cxd4";8
13;"Fischer Robert J (USA)";"Black";"Nc6";10
13;"Fischer Robert J (USA)";"Black";"Nf6";12
13;"Fischer Robert J (USA)";"Black";"bxc6";14
13;"Fischer Robert J (USA)";"Black";"Ng8";16
13;"Fischer Robert J (USA)";"Black";"f6";18
13;"Fischer Robert J (USA)";"Black";"Nxf6";20
14;"Fischer Robert J (USA)";"Black";"c5";2
14;"Fischer Robert J (USA)";"Black";"d6";4
14;"Fischer Robert J (USA)";"Black";"cxd4";6
14;"Fischer Robert J (USA)";"Black";"Nf6";8
14;"Fischer Robert J (USA)";"Black";"a6";10
14;"Fischer Robert J (USA)";"Black";"e5";12
14;"Fischer Robert J (USA)";"Black";"Be7";14
14;"Fischer Robert J (USA)";"Black";"O-O";16
14;"Fischer Robert J (USA)";"Black";"Be6";18
14;"Fischer Robert J (USA)";"Black";"Nbd7";20
37;"Fischer Robert J (USA)";"Black";"Nf6";2
37;"Fischer Robert J (USA)";"Black";"e6";4
37;"Fischer Robert J (USA)";"Black";"d5";6
37;"Fischer Robert J (USA)";"Black";"c5";8
37;"Fischer Robert J (USA)";"Black";"Nc6";10
37;"Fischer Robert J (USA)";"Black";"Ne4";12
37;"Fischer Robert J (USA)";"Black";"Nxc3";14
37;"Fischer Robert J (USA)";"Black";"Be7";16
37;"Fischer Robert J (USA)";"Black";"O-O";18
37;"Fischer Robert J (USA)";"Black";"h6";20
48;"Fischer Robert J (USA)";"Black";"Nf6";2
48;"Fischer Robert J (USA)";"Black";"e6";4
48;"Fischer Robert J (USA)";"Black";"d5";6
48;"Fischer Robert J (USA)";"Black";"Bb4";8
48;"Fischer Robert J (USA)";"Black";"O-O";10
48;"Fischer Robert J (USA)";"Black";"c5";12
48;"Fischer Robert J (USA)";"Black";"Nc6";14
48;"Fischer Robert J (USA)";"Black";"Ba5";16
48;"Fischer Robert J (USA)";"Black";"dxc4";18
48;"Fischer Robert J (USA)";"Black";"Bb6";20
49;"Fischer Robert J (USA)";"Black";"Nf6";2
49;"Fischer Robert J (USA)";"Black";"e6";4
49;"Fischer Robert J (USA)";"Black";"c5";6
49;"Fischer Robert J (USA)";"Black";"exd5";8
49;"Fischer Robert J (USA)";"Black";"d6";10
49;"Fischer Robert J (USA)";"Black";"g6";12
49;"Fischer Robert J (USA)";"Black";"Nbd7";14
49;"Fischer Robert J (USA)";"Black";"Bg7";16
49;"Fischer Robert J (USA)";"Black";"O-O";18
49;"Fischer Robert J (USA)";"Black";"Re8";20
50;"Fischer Robert J (USA)";"Black";"Nf6";2
50;"Fischer Robert J (USA)";"Black";"e6";4
50;"Fischer Robert J (USA)";"Black";"Bb4";6
50;"Fischer Robert J (USA)";"Black";"c5";8
50;"Fischer Robert J (USA)";"Black";"Nc6";10
50;"Fischer Robert J (USA)";"Black";"Bxc3+";12
50;"Fischer Robert J (USA)";"Black";"d6";14
50;"Fischer Robert J (USA)";"Black";"e5";16
50;"Fischer Robert J (USA)";"Black";"Ne7";18
50;"Fischer Robert J (USA)";"Black";"h6";20
51;"Fischer Robert J (USA)";"Black";"c5";2
51;"Fischer Robert J (USA)";"Black";"d6";4
51;"Fischer Robert J (USA)";"Black";"cxd4";6
51;"Fischer Robert J (USA)";"Black";"Nf6";8
51;"Fischer Robert J (USA)";"Black";"a6";10
51;"Fischer Robert J (USA)";"Black";"e6";12
51;"Fischer Robert J (USA)";"Black";"Qb6";14
51;"Fischer Robert J (USA)";"Black";"Qxb2";16
51;"Fischer Robert J (USA)";"Black";"Qa3";18
51;"Fischer Robert J (USA)";"Black";"Be7";20
52;"Fischer Robert J (USA)";"Black";"Nf6";2
52;"Fischer Robert J (USA)";"Black";"e6";4
52;"Fischer Robert J (USA)";"Black";"d5";6
52;"Fischer Robert J (USA)";"Black";"c5";8
52;"Fischer Robert J (USA)";"Black";"Nxd5";10
52;"Fischer Robert J (USA)";"Black";"Nxc3";12
52;"Fischer Robert J (USA)";"Black";"cxd4";14
52;"Fischer Robert J (USA)";"Black";"Nc6";16
52;"Fischer Robert J (USA)";"Black";"b5";18
52;"Fischer Robert J (USA)";"Black";"Bb4+";20
53;"Fischer Robert J (USA)";"Black";"c5";2
53;"Fischer Robert J (USA)";"Black";"d6";4
53;"Fischer Robert J (USA)";"Black";"cxd4";6
53;"Fischer Robert J (USA)";"Black";"Nf6";8
53;"Fischer Robert J (USA)";"Black";"a6";10
53;"Fischer Robert J (USA)";"Black";"e6";12
53;"Fischer Robert J (USA)";"Black";"Qb6";14
53;"Fischer Robert J (USA)";"Black";"Qxb2";16
53;"Fischer Robert J (USA)";"Black";"Qa3";18
53;"Fischer Robert J (USA)";"Black";"gxf6";20
54;"Fischer Robert J (USA)";"Black";"Nf6";2
54;"Fischer Robert J (USA)";"Black";"Nd5";4
54;"Fischer Robert J (USA)";"Black";"d6";6
54;"Fischer Robert J (USA)";"Black";"g6";8
54;"Fischer Robert J (USA)";"Black";"Nb6";10
54;"Fischer Robert J (USA)";"Black";"Bg7";12
54;"Fischer Robert J (USA)";"Black";"O-O";14
54;"Fischer Robert J (USA)";"Black";"a5";16
54;"Fischer Robert J (USA)";"Black";"dxe5";18
54;"Fischer Robert J (USA)";"Black";"Na6";20
55;"Fischer Robert J (USA)";"Black";"c5";2
55;"Fischer Robert J (USA)";"Black";"d6";4
55;"Fischer Robert J (USA)";"Black";"cxd4";6
55;"Fischer Robert J (USA)";"Black";"Nf6";8
55;"Fischer Robert J (USA)";"Black";"a6";10
55;"Fischer Robert J (USA)";"Black";"e6";12
55;"Fischer Robert J (USA)";"Black";"Be7";14
55;"Fischer Robert J (USA)";"Black";"Qc7";16
55;"Fischer Robert J (USA)";"Black";"Nbd7";18
55;"Fischer Robert J (USA)";"Black";"b5";20
56;"Fischer Robert J (USA)";"Black";"Nf6";2
56;"Fischer Robert J (USA)";"Black";"Nd5";4
56;"Fischer Robert J (USA)";"Black";"d6";6
56;"Fischer Robert J (USA)";"Black";"Bg4";8
56;"Fischer Robert J (USA)";"Black";"e6";10
56;"Fischer Robert J (USA)";"Black";"Be7";12
56;"Fischer Robert J (USA)";"Black";"Bh5";14
56;"Fischer Robert J (USA)";"Black";"Nb6";16
56;"Fischer Robert J (USA)";"Black";"O-O";18
56;"Fischer Robert J (USA)";"Black";"d5";20
57;"Fischer Robert J (USA)";"Black";"c5";2
57;"Fischer Robert J (USA)";"Black";"e6";4
57;"Fischer Robert J (USA)";"Black";"cxd4";6
57;"Fischer Robert J (USA)";"Black";"a6";8
57;"Fischer Robert J (USA)";"Black";"Nc6";10
57;"Fischer Robert J (USA)";"Black";"Nf6";12
57;"Fischer Robert J (USA)";"Black";"d5";14
57;"Fischer Robert J (USA)";"Black";"exd5";16
57;"Fischer Robert J (USA)";"Black";"Bd6";18
57;"Fischer Robert J (USA)";"Black";"bxc6";20
58;"Robert James Fischer";"Black";"Nf6";2
58;"Robert James Fischer";"Black";"e6";4
58;"Robert James Fischer";"Black";"d5";6
58;"Robert James Fischer";"Black";"c5";8
58;"Robert James Fischer";"Black";"Nxd5";10
58;"Robert James Fischer";"Black";"Nxc3";12
58;"Robert James Fischer";"Black";"cxd4";14
58;"Robert James Fischer";"Black";"Nc6";16
58;"Robert James Fischer";"Black";"b5";18
58;"Robert James Fischer";"Black";"Bb4+";20
