"game";"player";"color";"move";"turn"
1;"Fischer Robert J (USA)";"White";"e4";1
1;"Fischer Robert J (USA)";"White";"Nf3";3
1;"Fischer Robert J (USA)";"White";"Bb5";5
1;"Fischer Robert J (USA)";"White";"Ba4";7
1;"Fischer Robert J (USA)";"White";"O-O";9
1;"Fischer Robert J (USA)";"White";"Re1";11
1;"Fischer Robert J (USA)";"White";"Bb3";13
1;"Fischer Robert J (USA)";"White";"c3";15
1;"Fischer Robert J (USA)";"White";"h3";17
1;"Fischer Robert J (USA)";"White";"d4";19
12;"Fischer";"White";"e4";1
12;"Fischer";"White";"d4";3
12;"Fischer";"White";"Nc3";5
12;"Fischer";"White";"f4";7
12;"Fischer";"White";"Nf3";9
12;"Fischer";"White";"Bc4";11
12;"Fischer";"White";"d5";13
12;"Fischer";"White";"Bxb5";15
12;"Fischer";"White";"Nxe4";17
12;"Fischer";"White";"Ned2";19
15;"Fischer Robert J (USA)";"White";"e4";1
15;"Fischer Robert J (USA)";"White";"f4";3
15;"Fischer Robert J (USA)";"White";"Bc4";5
15;"Fischer Robert J (USA)";"White";"Bxd5";7
15;"Fischer Robert J (USA)";"White";"Nc3";9
15;"Fischer Robert J (USA)";"White";"Nf3";11
15;"Fischer Robert J (USA)";"White";"O-O";13
15;"Fischer Robert J (USA)";"White";"Nxd5";15
15;"Fischer Robert J (USA)";"White";"d4";17
15;"Fischer Robert J (USA)";"White";"Nxg5";19
16;"Fischer Robert J (USA)";"White";"e4";1
16;"Fischer Robert J (USA)";"White";"Nf3";3
16;"Fischer Robert J (USA)";"White";"Bb5";5
16;"Fischer Robert J (USA)";"White";"Ba4";7
16;"Fischer Robert J (USA)";"White";"O-O";9
16;"Fischer Robert J (USA)";"White";"Re1";11
16;"Fischer Robert J (USA)";"White";"Bb3";13
16;"Fischer Robert J (USA)";"White";"c3";15
16;"Fischer Robert J (USA)";"White";"h3";17
16;"Fischer Robert J (USA)";"White";"d4";19
17;"Fischer Robert J (USA)";"White";"e4";1
17;"Fischer Robert J (USA)";"White";"Nf3";3
17;"Fischer Robert J (USA)";"White";"Bb5";5
17;"Fischer Robert J (USA)";"White";"Ba4";7
17;"Fischer Robert J (USA)";"White";"O-O";9
17;"Fischer Robert J (USA)";"White";"Re1";11
