"game";"player";"color";"move";"turn";"timestamp"
1;"Alfons2357";"White";"e4";1;"0:01:45"
1;"Alfons2357";"White";"Nf3";3;"0:01:48"
1;"Alfons2357";"White";"Nc3";5;"0:01:53"
1;"Alfons2357";"White";"Bc4";7;"0:01:56"
1;"Alfons2357";"White";"Ng5";9;"0:01:58"
1;"Alfons2357";"White";"O-O";11;"0:01:59"
1;"Alfons2357";"White";"exd5";13;"0:02:01"
1;"Alfons2357";"White";"Nxd5";15;"0:02:03"
1;"Alfons2357";"White";"Qh5";17;"0:02:18"
1;"Alfons2357";"White";"Nxf6+";19;"0:02:22"
3;"Alfons2357";"White";"e4";1;"0:08:46"
3;"Alfons2357";"White";"Nf3";3;"0:09:03"
3;"Alfons2357";"White";"Bc4";5;"0:09:16"
3;"Alfons2357";"White";"Ng5";7;"0:09:19"
3;"Alfons2357";"White";"d4";9;"0:09:33"
3;"Alfons2357";"White";"Bxg5";11;"0:09:51"
3;"Alfons2357";"White";"Nd2";13;"0:09:55"
3;"Alfons2357";"White";"Qxa1";15;"0:09:58"
3;"Alfons2357";"White";"Qc3";17;"0:10:00"
3;"Alfons2357";"White";"Qb4";19;"0:00:30"
4;"Alfons2357";"White";"e4";1;"0:09:17"
4;"Alfons2357";"White";"Nf3";3;"0:09:40"
4;"Alfons2357";"White";"Nc3";5;"0:09:44"
4;"Alfons2357";"White";"Bc4";7;"0:09:59"
4;"Alfons2357";"White";"d3";9;"0:00:29"
4;"Alfons2357";"White";"Bd2";11;"0:00:51"
4;"Alfons2357";"White";"Bxc3";13;"0:01:12"
4;"Alfons2357";"White";"Nxe5";15;"0:01:25"
4;"Alfons2357";"White";"Bxe5";17;"0:01:36"
4;"Alfons2357";"White";"Qf3";19;"0:01:49"
5;"Alfons2357";"White";"e4";1;"0:08:16"
5;"Alfons2357";"White";"Nf3";3;"0:08:27"
5;"Alfons2357";"White";"Bb5";5;"0:08:31"
5;"Alfons2357";"White";"O-O";7;"0:09:34"
5;"Alfons2357";"White";"d3";9;"0:09:37"
5;"Alfons2357";"White";"Bg5";11;"0:09:39"
5;"Alfons2357";"White";"Nbd2";13;"0:09:45"
5;"Alfons2357";"White";"Ne4";15;"0:09:55"
5;"Alfons2357";"White";"Nxf6+";17;"0:09:58"
5;"Alfons2357";"White";"Re1";19;"0:00:44"
8;"Alfons2357";"White";"e4";1;"0:09:39"
8;"Alfons2357";"White";"Nf3";3;"0:09:41"
8;"Alfons2357";"White";"e5";5;"0:09:44"
8;"Alfons2357";"White";"Nxe5";7;"0:09:46"
8;"Alfons2357";"White";"c4";9;"0:09:50"
8;"Alfons2357";"White";"Nc3";11;"0:09:56"
8;"Alfons2357";"White";"d4";13;"0:09:57"
8;"Alfons2357";"White";"Nxc6";15;"0:01:04"
8;"Alfons2357";"White";"Be3";17;"0:01:06"
8;"Alfons2357";"White";"Qd2";19;"0:01:06"
9;"Alfons2357";"White";"e4";1;"0:05:58"
9;"Alfons2357";"White";"Nc3";3;"0:06:21"
9;"Alfons2357";"White";"Bc4";5;"0:06:38"
9;"Alfons2357";"White";"d3";7;"0:06:46"
9;"Alfons2357";"White";"Nf3";9;"0:06:49"
9;"Alfons2357";"White";"Be3";11;"0:06:51"
9;"Alfons2357";"White";"Qd2";13;"0:06:58"
9;"Alfons2357";"White";"d4";15;"0:07:05"
9;"Alfons2357";"White";"Bxd4";17;"0:07:26"
9;"Alfons2357";"White";"Nxd4";19;"0:07:40"
12;"Alfons2357";"White";"e4";1;"0:04:13"
12;"Alfons2357";"White";"Nf3";3;"0:04:32"
12;"Alfons2357";"White";"Bc4";5;"0:04:35"
12;"Alfons2357";"White";"O-O";7;"0:05:29"
12;"Alfons2357";"White";"d3";9;"0:06:02"
12;"Alfons2357";"White";"Re1";11;"0:06:08"
12;"Alfons2357";"White";"Be3";13;"0:06:18"
12;"Alfons2357";"White";"Rxe3";15;"0:07:29"
12;"Alfons2357";"White";"Re2";17;"0:08:04"
12;"Alfons2357";"White";"Nxd4";19;"0:08:28"
15;"Alfons2357";"White";"e4";1;"0:06:37"
15;"Alfons2357";"White";"Nf3";3;"0:06:42"
15;"Alfons2357";"White";"Bc4";5;"0:06:52"
15;"Alfons2357";"White";"d4";7;"0:07:00"
15;"Alfons2357";"White";"Ng5";9;"0:07:15"
15;"Alfons2357";"White";"f4";11;"0:07:53"
