,game,player,color,move,turn
0,1,Alfons2357,White,e4,1
1,1,shreyassikchi,Black,c5,2
2,1,Alfons2357,White,Nf3,3
3,1,shreyassikchi,Black,Nc6,4
4,1,Alfons2357,White,Nc3,5
5,1,shreyassikchi,Black,e5,6
6,1,Alfons2357,White,Bc4,7
7,1,shreyassikchi,Black,Nf6,8
8,1,Alfons2357,White,Ng5,9
9,1,shreyassikchi,Black,Be7,10
10,1,Alfons2357,White,O-O,11
11,1,shreyassikchi,Black,d5,12
12,1,Alfons2357,White,exd5,13
13,1,shreyassikchi,Black,Nxd5,14
14,1,Alfons2357,White,Nxd5,15
15,1,shreyassikchi,Black,Bxg5,16
16,1,Alfons2357,White,Qh5,17
17,1,shreyassikchi,Black,Bf6,18
18,1,Alfons2357,White,Nxf6+,19
19,1,shreyassikchi,Black,Qxf6,20
20,1,Alfons2357,White,c3,21
21,1,shreyassikchi,Black,Qg6,22
22,1,Alfons2357,White,Qxg6,23
23,1,shreyassikchi,Black,fxg6,24
24,1,Alfons2357,White,Re1,25
25,1,shreyassikchi,Black,Na5,26
26,1,Alfons2357,White,Rxe5+,27
27,1,shreyassikchi,Black,Kd7,28
28,1,Alfons2357,White,d3,29
29,1,shreyassikchi,Black,Nxc4,30
30,1,Alfons2357,White,dxc4,31
31,1,shreyassikchi,Black,Kd6,32
32,1,Alfons2357,White,Bf4,33
33,1,shreyassikchi,Black,Bf5,34
34,1,Alfons2357,White,Rd1+,35
35,1,shreyassikchi,Black,Kc6,36
36,1,Alfons2357,White,Rdd5,37
37,1,shreyassikchi,Black,Rhe8,38
38,1,Alfons2357,White,Rxc5+,39
39,1,shreyassikchi,Black,Kb6,40
40,1,Alfons2357,White,Rxe8,41
41,1,shreyassikchi,Black,Rxe8,42
42,1,Alfons2357,White,Be3,43
43,1,shreyassikchi,Black,Ka6,44
44,1,Alfons2357,White,b4,45
45,1,shreyassikchi,Black,b6,46
46,1,Alfons2357,White,Ra5+,47
47,1,shreyassikchi,Black,bxa5,48
48,1,Alfons2357,White,c5,49
49,1,shreyassikchi,Black,axb4,50
50,1,Alfons2357,White,cxb4,51
51,1,shreyassikchi,Black,Kb5,52
52,1,Alfons2357,White,a3,53
53,1,shreyassikchi,Black,Rd8,54
54,1,Alfons2357,White,h3,55
55,1,shreyassikchi,Black,Ka4,56
56,1,Alfons2357,White,g4,57
57,1,shreyassikchi,Black,Be4,58
58,1,Alfons2357,White,Bg5,59
59,1,shreyassikchi,Black,Kxa3,60
60,1,Alfons2357,White,c6,61
61,1,shreyassikchi,Black,Rc8,62
62,1,Alfons2357,White,b5,63
63,1,shreyassikchi,Black,Kb4,64
64,1,Alfons2357,White,f3,65
65,1,shreyassikchi,Black,Bd3,66
66,1,Alfons2357,White,Kf2,67
67,1,shreyassikchi,Black,Kxb5,68
68,1,Alfons2357,White,c7,69
69,1,shreyassikchi,Black,Rxc7,70
70,1,Alfons2357,White,Ke3,71
71,1,shreyassikchi,Black,Bc4,72
72,1,Alfons2357,White,f4,73
73,1,shreyassikchi,Black,h6,74
74,1,Alfons2357,White,Bd8,75
75,1,shreyassikchi,Black,Rd7,76
76,1,Alfons2357,White,Bh4,77
77,1,shreyassikchi,Black,Kc5,78
78,1,Alfons2357,White,Kf3,79
79,1,shreyassikchi,Black,a5,80
80,1,Alfons2357,White,g5,81
81,1,shreyassikchi,Black,hxg5,82
82,1,Alfons2357,White,Bxg5,83
83,1,shreyassikchi,Black,a4,84
84,1,Alfons2357,White,Bh4,85
85,1,shreyassikchi,Black,a3,86
86,1,Alfons2357,White,Be1,87
87,1,shreyassikchi,Black,a2,88
88,1,Alfons2357,White,Bc3,89
89,1,shreyassikchi,Black,Rd3+,90
90,1,Alfons2357,White,Ke2,91
91,1,shreyassikchi,Black,Rxc3+,92
92,1,Alfons2357,White,Kd2,93
93,1,shreyassikchi,Black,Kb4,94
94,1,Alfons2357,White,f5,95
95,1,shreyassikchi,Black,gxf5,96
96,1,Alfons2357,White,h4,97
97,1,shreyassikchi,Black,a1=Q,98
98,1,Alfons2357,White,h5,99
99,1,shreyassikchi,Black,Qa2+,100
100,1,Alfons2357,White,Kd1,101
101,1,shreyassikchi,Black,Rb3,102
102,1,Alfons2357,White,Kc1,103
103,1,shreyassikchi,Black,Rb1#,104
104,2,BigMekNiko,White,e4,1
105,2,Alfons2357,Black,c6,2
106,2,BigMekNiko,White,d4,3
107,2,Alfons2357,Black,d5,4
108,2,BigMekNiko,White,e5,5
109,2,Alfons2357,Black,Bf5,6
110,2,BigMekNiko,White,g4,7
111,2,Alfons2357,Black,Qa5+,8
112,2,BigMekNiko,White,c3,9
113,2,Alfons2357,Black,Be4,10
114,2,BigMekNiko,White,f3,11
115,2,Alfons2357,Black,Bg6,12
116,2,BigMekNiko,White,h4,13
117,2,Alfons2357,Black,h5,14
118,2,BigMekNiko,White,f4,15
119,2,Alfons2357,Black,Nh6,16
120,2,BigMekNiko,White,f5,17
121,2,Alfons2357,Black,Bh7,18
122,2,BigMekNiko,White,g5,19
123,2,Alfons2357,Black,Nxf5,20
124,2,BigMekNiko,White,Nd2,21
125,2,Alfons2357,Black,e6,22
126,2,BigMekNiko,White,Ndf3,23
127,2,Alfons2357,Black,Be7,24
128,2,BigMekNiko,White,Be3,25
129,2,Alfons2357,Black,g6,26
130,2,BigMekNiko,White,Qd2,27
131,2,Alfons2357,Black,Nd7,28
132,2,BigMekNiko,White,a3,29
133,2,Alfons2357,Black,c5,30
134,2,BigMekNiko,White,O-O-O,31
135,2,Alfons2357,Black,Nxe3,32
136,2,BigMekNiko,White,Qxe3,33
137,2,Alfons2357,Black,cxd4,34
138,2,BigMekNiko,White,Qxd4,35
139,2,Alfons2357,Black,Rc8,36
140,2,BigMekNiko,White,Qd3,37
141,2,Alfons2357,Black,Bc5,38
142,2,BigMekNiko,White,Nd4,39
143,2,Alfons2357,Black,Bxd4,40
144,2,BigMekNiko,White,Qxd4,41
145,2,Alfons2357,Black,Nb6,42
146,2,BigMekNiko,White,Nf3,43
147,2,Alfons2357,Black,O-O,44
148,2,BigMekNiko,White,Qd3,45
149,2,Alfons2357,Black,Nc4,46
150,2,BigMekNiko,White,Nd4,47
151,2,Alfons2357,Black,Nxa3,48
152,2,BigMekNiko,White,bxa3,49
153,2,Alfons2357,Black,Qxa3+,50
154,2,BigMekNiko,White,Kd2,51
155,2,Alfons2357,Black,f5,52
156,2,BigMekNiko,White,exf6,53
157,2,Alfons2357,Black,Rxf6,54
158,2,BigMekNiko,White,gxf6,55
159,2,Alfons2357,Black,g5,56
160,2,BigMekNiko,White,Qg3,57
161,2,Alfons2357,Black,Rxc3,58
162,2,BigMekNiko,White,Qxg5+,59
163,2,Alfons2357,Black,Kf7,60
164,2,BigMekNiko,White,Qg7+,61
165,2,Alfons2357,Black,Ke8,62
166,2,BigMekNiko,White,f7+,63
167,2,Alfons2357,Black,Kd8,64
168,2,BigMekNiko,White,f8=Q+,65
169,2,Alfons2357,Black,Qxf8,66
170,2,BigMekNiko,White,Qxf8+,67
171,2,Alfons2357,Black,Kd7,68
172,2,BigMekNiko,White,Qf7+,69
173,2,Alfons2357,Black,Kd6,70
174,2,BigMekNiko,White,Nb5+,71
175,2,Alfons2357,Black,Ke5,72
