,game,player,color,move,turn
0,1,Alfons2357,White,e4,1
1,1,stardust1111,Black,e5,2
2,1,Alfons2357,White,Nf3,3
3,1,stardust1111,Black,Nc6,4
4,1,Alfons2357,White,Bc4,5
5,1,stardust1111,Black,Nh6,6
6,1,Alfons2357,White,c3,7
7,1,stardust1111,Black,Qf6,8
8,1,Alfons2357,White,d4,9
9,1,stardust1111,Black,Na5,10
10,1,Alfons2357,White,dxe5,11
11,1,stardust1111,Black,Qb6,12
12,1,Alfons2357,White,Be3,13
13,1,stardust1111,Black,Qxb2,14
14,1,Alfons2357,White,O-O,15
15,1,stardust1111,Black,Nxc4,16
16,1,Alfons2357,White,Nbd2,17
17,1,stardust1111,Black,Qxc3,18
18,1,Alfons2357,White,Nxc4,19
19,1,stardust1111,Black,Qxc4,20
20,1,Alfons2357,White,a4,21
21,1,stardust1111,Black,Ng4,22
22,1,Alfons2357,White,Qc1,23
23,1,stardust1111,Black,Qxe4,24
24,1,Alfons2357,White,e6,25
25,1,stardust1111,Black,dxe6,26
26,1,Alfons2357,White,Qxc7,27
27,1,stardust1111,Black,Be7,28
28,1,Alfons2357,White,Rac1,29
29,1,stardust1111,Black,Qd5,30
30,1,Alfons2357,White,Rfd1,31
31,1,stardust1111,Black,Qh5,32
32,1,Alfons2357,White,Bg5,33
33,1,stardust1111,Black,O-O,34
34,1,Alfons2357,White,Qxe7,35
35,1,stardust1111,Black,e5,36
36,1,Alfons2357,White,Rd8,37
37,1,stardust1111,Black,h6,38
38,1,Alfons2357,White,Qxf8+,39
39,1,stardust1111,Black,Kh7,40
40,1,Alfons2357,White,Qh8+,41
41,1,stardust1111,Black,Kg6,42
42,1,Alfons2357,White,Rd6+,43
43,1,stardust1111,Black,f6,44
44,1,Alfons2357,White,Rxf6+,45
45,1,stardust1111,Black,gxf6,46
46,1,Alfons2357,White,Qg8+,47
47,1,stardust1111,Black,Kf5,48
48,1,Alfons2357,White,Qh7+,49
49,1,stardust1111,Black,Ke6,50
50,1,Alfons2357,White,Qg8+,51
51,1,stardust1111,Black,Kf5,52
52,1,Alfons2357,White,Rxc8,53
53,1,stardust1111,Black,Rxc8,54
54,1,Alfons2357,White,Qxc8+,55
55,1,stardust1111,Black,Ke4,56
56,1,Alfons2357,White,Qc4+,57
57,1,stardust1111,Black,Kf5,58
58,1,Alfons2357,White,h3,59
59,1,stardust1111,Black,e4,60
60,1,Alfons2357,White,Qd5+,61
61,1,stardust1111,Black,Kg6,62
62,1,Alfons2357,White,Qg8+,63
63,1,stardust1111,Black,Kf5,64
64,1,Alfons2357,White,Nh4+,65
65,1,stardust1111,Black,Ke5,66
66,1,Alfons2357,White,Qe8+,67
67,1,stardust1111,Black,Kd4,68
68,1,Alfons2357,White,Qd8+,69
69,1,stardust1111,Black,Kc4,70
70,1,Alfons2357,White,Qc8+,71
71,1,stardust1111,Black,Kb4,72
72,1,Alfons2357,White,Qf8+,73
73,1,stardust1111,Black,Kb3,74
74,1,Alfons2357,White,a5,75
75,1,stardust1111,Black,fxg5,76
76,1,Alfons2357,White,Qf7+,77
77,1,stardust1111,Black,Qxf7,78
78,1,Alfons2357,White,a6,79
79,1,stardust1111,Black,bxa6,80
80,1,Alfons2357,White,hxg4,81
81,1,stardust1111,Black,Qf4,82
82,1,Alfons2357,White,g3,83
83,1,stardust1111,Black,Qc1+,84
84,1,Alfons2357,White,Kg2,85
85,1,stardust1111,Black,Qe1,86
86,1,Alfons2357,White,Nf3,87
87,1,stardust1111,Black,exf3+,88
88,1,Alfons2357,White,Kxf3,89
89,1,stardust1111,Black,Qd1+,90
90,1,Alfons2357,White,Kg2,91
91,1,stardust1111,Black,Qd4,92
92,1,Alfons2357,White,Kf3,93
93,1,stardust1111,Black,Qd5+,94
94,1,Alfons2357,White,Ke2,95
95,1,stardust1111,Black,Qb5+,96
96,2,Alfons2357,White,e4,1
97,2,caljao215,Black,e5,2
98,2,Alfons2357,White,Nf3,3
99,2,caljao215,Black,Nc6,4
100,2,Alfons2357,White,Bc4,5
101,2,caljao215,Black,Bc5,6
102,2,Alfons2357,White,c3,7
103,2,caljao215,Black,Nf6,8
104,2,Alfons2357,White,O-O,9
105,2,caljao215,Black,Ng4,10
106,2,Alfons2357,White,b4,11
107,2,caljao215,Black,Bxf2+,12
108,2,Alfons2357,White,Rxf2,13
109,2,caljao215,Black,Nxf2,14
110,2,Alfons2357,White,Kxf2,15
111,2,caljao215,Black,O-O,16
112,2,Alfons2357,White,d4,17
113,2,caljao215,Black,exd4,18
114,2,Alfons2357,White,cxd4,19
115,2,caljao215,Black,a5,20
116,2,Alfons2357,White,b5,21
117,2,caljao215,Black,Nb4,22
118,2,Alfons2357,White,Qb3,23
119,2,caljao215,Black,b6,24
120,2,Alfons2357,White,a3,25
121,2,caljao215,Black,Na6,26
122,2,Alfons2357,White,Be3,27
123,2,caljao215,Black,Nb8,28
124,2,Alfons2357,White,Nbd2,29
125,2,caljao215,Black,a4,30
126,2,Alfons2357,White,Qd3,31
127,2,caljao215,Black,c5,32
128,2,Alfons2357,White,dxc5,33
129,2,caljao215,Black,bxc5,34
130,2,Alfons2357,White,Bxc5,35
131,2,caljao215,Black,Re8,36
132,2,Alfons2357,White,Qd5,37
133,2,caljao215,Black,Re6,38
134,2,Alfons2357,White,Ng5,39
135,2,caljao215,Black,Rf6+,40
136,2,Alfons2357,White,Ndf3,41
137,2,caljao215,Black,Rf4,42
138,2,Alfons2357,White,Nxf7,43
139,2,caljao215,Black,Qh4+,44
140,2,Alfons2357,White,Kg1,45
141,2,caljao215,Black,Qg4,46
142,2,Alfons2357,White,N7e5+,47
143,2,caljao215,Black,Kh8,48
144,2,Alfons2357,White,Qg8#,49
145,3,Alfons2357,White,e4,1
146,3,MrBananaKing_phd,Black,e5,2
147,3,Alfons2357,White,Nf3,3
148,3,MrBananaKing_phd,Black,Nc6,4
149,3,Alfons2357,White,Bc4,5
150,3,MrBananaKing_phd,Black,Nf6,6
151,3,Alfons2357,White,d3,7
152,3,MrBananaKing_phd,Black,h6,8
153,3,Alfons2357,White,Nbd2,9
154,3,MrBananaKing_phd,Black,d6,10
155,3,Alfons2357,White,c3,11
156,3,MrBananaKing_phd,Black,Bg4,12
157,3,Alfons2357,White,Nb3,13
158,3,MrBananaKing_phd,Black,d5,14
159,3,Alfons2357,White,exd5,15
160,3,MrBananaKing_phd,Black,Nxd5,16
161,3,Alfons2357,White,Nc5,17
162,3,MrBananaKing_phd,Black,Bxc5,18
163,3,Alfons2357,White,h3,19
164,3,MrBananaKing_phd,Black,Bf5,20
165,3,Alfons2357,White,O-O,21
166,3,MrBananaKing_phd,Black,Nf4,22
167,3,Alfons2357,White,d4,23
168,3,MrBananaKing_phd,Black,Bd6,24
169,3,Alfons2357,White,Bxf4,25
170,3,MrBananaKing_phd,Black,exf4,26
171,3,Alfons2357,White,Re1+,27
172,3,MrBananaKing_phd,Black,Ne7,28
173,3,Alfons2357,White,g4,29
174,3,MrBananaKing_phd,Black,Bh7,30
175,3,Alfons2357,White,g5,31
176,3,MrBananaKing_phd,Black,hxg5,32
177,3,Alfons2357,White,Nxg5,33
178,3,MrBananaKing_phd,Black,O-O,34
179,3,Alfons2357,White,Nxh7,35
180,3,MrBananaKing_phd,Black,Kxh7,36
181,3,Alfons2357,White,Qh5+,37
182,3,MrBananaKing_phd,Black,Kg8,38
183,3,Alfons2357,White,Bd3,39
184,3,MrBananaKing_phd,Black,g6,40
185,3,Alfons2357,White,c4,41
186,3,MrBananaKing_phd,Black,gxh5,42
187,3,Alfons2357,White,f3,43
188,3,MrBananaKing_phd,Black,Bb4,44
189,3,Alfons2357,White,Re4,45
190,3,MrBananaKing_phd,Black,Ng6,46
191,3,Alfons2357,White,a3,47
192,3,MrBananaKing_phd,Black,Ba5,48
193,3,Alfons2357,White,b4,49
194,3,MrBananaKing_phd,Black,Bb6,50
195,3,Alfons2357,White,c5,51
196,3,MrBananaKing_phd,Black,Re8,52
197,3,Alfons2357,White,Rae1,53
198,3,MrBananaKing_phd,Black,Rxe4,54
199,3,Alfons2357,White,fxe4,55
200,3,MrBananaKing_phd,Black,Qxd4+,56
201,3,Alfons2357,White,Kh2,57
202,3,MrBananaKing_phd,Black,Qxd3,58
203,3,Alfons2357,White,cxb6,59
204,3,MrBananaKing_phd,Black,axb6,60
205,3,Alfons2357,White,Ra1,61
206,3,MrBananaKing_phd,Black,Qxe4,62
207,3,Alfons2357,White,Rf1,63
208,3,MrBananaKing_phd,Black,Rxa3,64
209,3,Alfons2357,White,Kg1,65
210,3,MrBananaKing_phd,Black,Qxb4,66
211,3,Alfons2357,White,Kg2,67
