"game";"player";"color";"move";"turn"
1;"Alfons2357";"White";"e4";1
1;"stardust1111";"Black";"e5";2
1;"Alfons2357";"White";"Nf3";3
1;"stardust1111";"Black";"Nc6";4
1;"Alfons2357";"White";"Bc4";5
1;"stardust1111";"Black";"Nh6";6
1;"Alfons2357";"White";"c3";7
1;"stardust1111";"Black";"Qf6";8
1;"Alfons2357";"White";"d4";9
1;"stardust1111";"Black";"Na5";10
1;"Alfons2357";"White";"dxe5";11
1;"stardust1111";"Black";"Qb6";12
1;"Alfons2357";"White";"Be3";13
1;"stardust1111";"Black";"Qxb2";14
1;"Alfons2357";"White";"O-O";15
1;"stardust1111";"Black";"Nxc4";16
1;"Alfons2357";"White";"Nbd2";17
1;"stardust1111";"Black";"Qxc3";18
1;"Alfons2357";"White";"Nxc4";19
1;"stardust1111";"Black";"Qxc4";20
1;"Alfons2357";"White";"a4";21
1;"stardust1111";"Black";"Ng4";22
1;"Alfons2357";"White";"Qc1";23
1;"stardust1111";"Black";"Qxe4";24
1;"Alfons2357";"White";"e6";25
1;"stardust1111";"Black";"dxe6";26
1;"Alfons2357";"White";"Qxc7";27
1;"stardust1111";"Black";"Be7";28
1;"Alfons2357";"White";"Rac1";29
1;"stardust1111";"Black";"Qd5";30
1;"Alfons2357";"White";"Rfd1";31
1;"stardust1111";"Black";"Qh5";32
1;"Alfons2357";"White";"Bg5";33
1;"stardust1111";"Black";"O-O";34
1;"Alfons2357";"White";"Qxe7";35
1;"stardust1111";"Black";"e5";36
1;"Alfons2357";"White";"Rd8";37
1;"stardust1111";"Black";"h6";38
1;"Alfons2357";"White";"Qxf8+";39
1;"stardust1111";"Black";"Kh7";40
1;"Alfons2357";"White";"Qh8+";41
1;"stardust1111";"Black";"Kg6";42
1;"Alfons2357";"White";"Rd6+";43
1;"stardust1111";"Black";"f6";44
1;"Alfons2357";"White";"Rxf6+";45
1;"stardust1111";"Black";"gxf6";46
1;"Alfons2357";"White";"Qg8+";47
1;"stardust1111";"Black";"Kf5";48
1;"Alfons2357";"White";"Qh7+";49
1;"stardust1111";"Black";"Ke6";50
1;"Alfons2357";"White";"Qg8+";51
1;"stardust1111";"Black";"Kf5";52
1;"Alfons2357";"White";"Rxc8";53
1;"stardust1111";"Black";"Rxc8";54
1;"Alfons2357";"White";"Qxc8+";55
1;"stardust1111";"Black";"Ke4";56
1;"Alfons2357";"White";"Qc4+";57
1;"stardust1111";"Black";"Kf5";58
1;"Alfons2357";"White";"h3";59
1;"stardust1111";"Black";"e4";60
1;"Alfons2357";"White";"Qd5+";61
1;"stardust1111";"Black";"Kg6";62
1;"Alfons2357";"White";"Qg8+";63
1;"stardust1111";"Black";"Kf5";64
1;"Alfons2357";"White";"Nh4+";65
1;"stardust1111";"Black";"Ke5";66
1;"Alfons2357";"White";"Qe8+";67
1;"stardust1111";"Black";"Kd4";68
1;"Alfons2357";"White";"Qd8+";69
1;"stardust1111";"Black";"Kc4";70
1;"Alfons2357";"White";"Qc8+";71
1;"stardust1111";"Black";"Kb4";72
1;"Alfons2357";"White";"Qf8+";73
1;"stardust1111";"Black";"Kb3";74
1;"Alfons2357";"White";"a5";75
1;"stardust1111";"Black";"fxg5";76
1;"Alfons2357";"White";"Qf7+";77
1;"stardust1111";"Black";"Qxf7";78
1;"Alfons2357";"White";"a6";79
1;"stardust1111";"Black";"bxa6";80
1;"Alfons2357";"White";"hxg4";81
1;"stardust1111";"Black";"Qf4";82
1;"Alfons2357";"White";"g3";83
1;"stardust1111";"Black";"Qc1+";84
1;"Alfons2357";"White";"Kg2";85
1;"stardust1111";"Black";"Qe1";86
1;"Alfons2357";"White";"Nf3";87
1;"stardust1111";"Black";"exf3+";88
1;"Alfons2357";"White";"Kxf3";89
1;"stardust1111";"Black";"Qd1+";90
1;"Alfons2357";"White";"Kg2";91
1;"stardust1111";"Black";"Qd4";92
1;"Alfons2357";"White";"Kf3";93
1;"stardust1111";"Black";"Qd5+";94
1;"Alfons2357";"White";"Ke2";95
1;"stardust1111";"Black";"Qb5+";96
2;"Alfons2357";"White";"e4";1
2;"caljao215";"Black";"e5";2
2;"Alfons2357";"White";"Nf3";3
2;"caljao215";"Black";"Nc6";4
2;"Alfons2357";"White";"Bc4";5
2;"caljao215";"Black";"Bc5";6
2;"Alfons2357";"White";"c3";7
2;"caljao215";"Black";"Nf6";8
2;"Alfons2357";"White";"O-O";9
2;"caljao215";"Black";"Ng4";10
2;"Alfons2357";"White";"b4";11
2;"caljao215";"Black";"Bxf2+";12
2;"Alfons2357";"White";"Rxf2";13
2;"caljao215";"Black";"Nxf2";14
2;"Alfons2357";"White";"Kxf2";15
2;"caljao215";"Black";"O-O";16
2;"Alfons2357";"White";"d4";17
2;"caljao215";"Black";"exd4";18
2;"Alfons2357";"White";"cxd4";19
2;"caljao215";"Black";"a5";20
2;"Alfons2357";"White";"b5";21
2;"caljao215";"Black";"Nb4";22
2;"Alfons2357";"White";"Qb3";23
2;"caljao215";"Black";"b6";24
2;"Alfons2357";"White";"a3";25
2;"caljao215";"Black";"Na6";26
2;"Alfons2357";"White";"Be3";27
2;"caljao215";"Black";"Nb8";28
2;"Alfons2357";"White";"Nbd2";29
2;"caljao215";"Black";"a4";30
2;"Alfons2357";"White";"Qd3";31
2;"caljao215";"Black";"c5";32
2;"Alfons2357";"White";"dxc5";33
2;"caljao215";"Black";"bxc5";34
2;"Alfons2357";"White";"Bxc5";35
2;"caljao215";"Black";"Re8";36
2;"Alfons2357";"White";"Qd5";37
2;"caljao215";"Black";"Re6";38
2;"Alfons2357";"White";"Ng5";39
2;"caljao215";"Black";"Rf6+";40
2;"Alfons2357";"White";"Ndf3";41
2;"caljao215";"Black";"Rf4";42
2;"Alfons2357";"White";"Nxf7";43
2;"caljao215";"Black";"Qh4+";44
2;"Alfons2357";"White";"Kg1";45
2;"caljao215";"Black";"Qg4";46
2;"Alfons2357";"White";"N7e5+";47
2;"caljao215";"Black";"Kh8";48
2;"Alfons2357";"White";"Qg8#";49
3;"Alfons2357";"White";"e4";1
3;"MrBananaKing_phd";"Black";"e5";2
3;"Alfons2357";"White";"Nf3";3
3;"MrBananaKing_phd";"Black";"Nc6";4
3;"Alfons2357";"White";"Bc4";5
3;"MrBananaKing_phd";"Black";"Nf6";6
3;"Alfons2357";"White";"d3";7
3;"MrBananaKing_phd";"Black";"h6";8
3;"Alfons2357";"White";"Nbd2";9
3;"MrBananaKing_phd";"Black";"d6";10
3;"Alfons2357";"White";"c3";11
3;"MrBananaKing_phd";"Black";"Bg4";12
3;"Alfons2357";"White";"Nb3";13
3;"MrBananaKing_phd";"Black";"d5";14
3;"Alfons2357";"White";"exd5";15
3;"MrBananaKing_phd";"Black";"Nxd5";16
3;"Alfons2357";"White";"Nc5";17
3;"MrBananaKing_phd";"Black";"Bxc5";18
3;"Alfons2357";"White";"h3";19
3;"MrBananaKing_phd";"Black";"Bf5";20
3;"Alfons2357";"White";"O-O";21
3;"MrBananaKing_phd";"Black";"Nf4";22
3;"Alfons2357";"White";"d4";23
3;"MrBananaKing_phd";"Black";"Bd6";24
3;"Alfons2357";"White";"Bxf4";25
3;"MrBananaKing_phd";"Black";"exf4";26
3;"Alfons2357";"White";"Re1+";27
3;"MrBananaKing_phd";"Black";"Ne7";28
3;"Alfons2357";"White";"g4";29
3;"MrBananaKing_phd";"Black";"Bh7";30
3;"Alfons2357";"White";"g5";31
3;"MrBananaKing_phd";"Black";"hxg5";32
3;"Alfons2357";"White";"Nxg5";33
3;"MrBananaKing_phd";"Black";"O-O";34
3;"Alfons2357";"White";"Nxh7";35
3;"MrBananaKing_phd";"Black";"Kxh7";36
3;"Alfons2357";"White";"Qh5+";37
3;"MrBananaKing_phd";"Black";"Kg8";38
3;"Alfons2357";"White";"Bd3";39
3;"MrBananaKing_phd";"Black";"g6";40
3;"Alfons2357";"White";"c4";41
3;"MrBananaKing_phd";"Black";"gxh5";42
3;"Alfons2357";"White";"f3";43
3;"MrBananaKing_phd";"Black";"Bb4";44
3;"Alfons2357";"White";"Re4";45
3;"MrBananaKing_phd";"Black";"Ng6";46
3;"Alfons2357";"White";"a3";47
3;"MrBananaKing_phd";"Black";"Ba5";48
3;"Alfons2357";"White";"b4";49
3;"MrBananaKing_phd";"Black";"Bb6";50
3;"Alfons2357";"White";"c5";51
3;"MrBananaKing_phd";"Black";"Re8";52
3;"Alfons2357";"White";"Rae1";53
3;"MrBananaKing_phd";"Black";"Rxe4";54
3;"Alfons2357";"White";"fxe4";55
3;"MrBananaKing_phd";"Black";"Qxd4+";56
3;"Alfons2357";"White";"Kh2";57
3;"MrBananaKing_phd";"Black";"Qxd3";58
3;"Alfons2357";"White";"cxb6";59
3;"MrBananaKing_phd";"Black";"axb6";60
3;"Alfons2357";"White";"Ra1";61
3;"MrBananaKing_phd";"Black";"Qxe4";62
3;"Alfons2357";"White";"Rf1";63
