"X";"game";"player";"color";"move";"turn";"date"
0;1;"Fischer, Robert J";"White";"e4";1;1970-01-02
1;1;"Euwe, Max";"Black";"c6";2;1970-01-03
2;1;"Fischer, Robert J";"White";"d4";3;1970-01-04
3;1;"Euwe, Max";"Black";"d5";4;1970-01-05
4;1;"Fischer, Robert J";"White";"exd5";5;1970-01-06
5;1;"Euwe, Max";"Black";"cxd5";6;1970-01-07
6;1;"Fischer, Robert J";"White";"c4";7;1970-01-08
7;1;"Euwe, Max";"Black";"Nf6";8;1970-01-09
8;1;"Fischer, Robert J";"White";"Nc3";9;1970-01-10
9;1;"Euwe, Max";"Black";"Nc6";10;1970-01-11
71;2;"Glek, Igor V";"White";"e4";1;1970-01-12
72;2;"Kallai, Gabor";"Black";"c6";2;1970-01-13
73;2;"Glek, Igor V";"White";"c4";3;1970-01-14
74;2;"Kallai, Gabor";"Black";"d5";4;1970-01-15
75;2;"Glek, Igor V";"White";"exd5";5;1970-01-16
76;2;"Kallai, Gabor";"Black";"cxd5";6;1970-01-17
77;2;"Glek, Igor V";"White";"cxd5";7;1970-01-18
78;2;"Kallai, Gabor";"Black";"Nf6";8;1970-01-19
79;2;"Glek, Igor V";"White";"Nc3";9;1970-01-20
80;2;"Kallai, Gabor";"Black";"Nxd5";10;1970-01-21
174;3;"Adams, Michael";"White";"e4";1;1970-01-22
175;3;"Doettling, Fabian";"Black";"c6";2;1970-01-23
176;3;"Adams, Michael";"White";"d4";3;1970-01-24
177;3;"Doettling, Fabian";"Black";"d5";4;1970-01-25
178;3;"Adams, Michael";"White";"exd5";5;1970-01-26
179;3;"Doettling, Fabian";"Black";"cxd5";6;1970-01-27
180;3;"Adams, Michael";"White";"c4";7;1970-01-28
181;3;"Doettling, Fabian";"Black";"Nf6";8;1970-01-29
182;3;"Adams, Michael";"White";"Nc3";9;1970-01-30
183;3;"Doettling, Fabian";"Black";"e6";10;1970-01-31
229;4;"Agrest, Evgenij";"White";"e4";1;1970-02-01
230;4;"Akesson, Ralf";"Black";"c6";2;1970-02-02
231;4;"Agrest, Evgenij";"White";"c4";3;1970-02-03
232;4;"Akesson, Ralf";"Black";"d5";4;1970-02-04
233;4;"Agrest, Evgenij";"White";"exd5";5;1970-02-05
234;4;"Akesson, Ralf";"Black";"cxd5";6;1970-02-06
235;4;"Agrest, Evgenij";"White";"cxd5";7;1970-02-07
236;4;"Akesson, Ralf";"Black";"Nf6";8;1970-02-08
