"game";"player";"color";"move";"turn";"date"
1;"Alfons2357";"White";"e4";1;1970-01-02
1;"stardust1111";"Black";"e5";2;1970-01-03
1;"Alfons2357";"White";"Nf3";3;1970-01-04
1;"stardust1111";"Black";"Nc6";4;1970-01-05
1;"Alfons2357";"White";"Bc4";5;1970-01-06
1;"stardust1111";"Black";"Nh6";6;1970-01-07
1;"Alfons2357";"White";"c3";7;1970-01-08
1;"stardust1111";"Black";"Qf6";8;1970-01-09
1;"Alfons2357";"White";"d4";9;1970-01-10
1;"stardust1111";"Black";"Na5";10;1970-01-11
2;"Alfons2357";"White";"e4";1;1970-01-12
2;"caljao215";"Black";"e5";2;1970-01-13
2;"Alfons2357";"White";"Nf3";3;1970-01-14
2;"caljao215";"Black";"Nc6";4;1970-01-15
2;"Alfons2357";"White";"Bc4";5;1970-01-16
2;"caljao215";"Black";"Bc5";6;1970-01-17
2;"Alfons2357";"White";"c3";7;1970-01-18
2;"caljao215";"Black";"Nf6";8;1970-01-19
2;"Alfons2357";"White";"O-O";9;1970-01-20
2;"caljao215";"Black";"Ng4";10;1970-01-21
3;"Alfons2357";"White";"e4";1;1970-01-22
3;"MrBananaKing_phd";"Black";"e5";2;1970-01-23
3;"Alfons2357";"White";"Nf3";3;1970-01-24
3;"MrBananaKing_phd";"Black";"Nc6";4;1970-01-25
3;"Alfons2357";"White";"Bc4";5;1970-01-26
3;"MrBananaKing_phd";"Black";"Nf6";6;1970-01-27
3;"Alfons2357";"White";"d3";7;1970-01-28
3;"MrBananaKing_phd";"Black";"h6";8;1970-01-29
3;"Alfons2357";"White";"Nbd2";9;1970-01-30
3;"MrBananaKing_phd";"Black";"d6";10;1970-01-31
4;"Alfons2357";"White";"e4";1;1970-02-01
4;"lofar42";"Black";"e5";2;1970-02-02
4;"Alfons2357";"White";"Nf3";3;1970-02-03
4;"lofar42";"Black";"Nc6";4;1970-02-04
4;"Alfons2357";"White";"Bc4";5;1970-02-05
4;"lofar42";"Black";"h6";6;1970-02-06
4;"Alfons2357";"White";"c3";7;1970-02-07
4;"lofar42";"Black";"Nf6";8;1970-02-08
4;"Alfons2357";"White";"d3";9;1970-02-09
4;"lofar42";"Black";"Bc5";10;1970-02-10
5;"Alfons2357";"White";"e4";1;1970-02-11
5;"Mlargh";"Black";"e5";2;1970-02-12
5;"Alfons2357";"White";"Nf3";3;1970-02-13
5;"Mlargh";"Black";"Nc6";4;1970-02-14
5;"Alfons2357";"White";"Bc4";5;1970-02-15
5;"Mlargh";"Black";"d6";6;1970-02-16
5;"Alfons2357";"White";"Nc3";7;1970-02-17
5;"Mlargh";"Black";"Nf6";8;1970-02-18
5;"Alfons2357";"White";"d4";9;1970-02-19
5;"Mlargh";"Black";"exd4";10;1970-02-20
6;"Alfons2357";"White";"e4";1;1970-02-21
6;"unobetter269";"Black";"e5";2;1970-02-22
6;"Alfons2357";"White";"Nf3";3;1970-02-23
6;"unobetter269";"Black";"Nc6";4;1970-02-24
6;"Alfons2357";"White";"Bc4";5;1970-02-25
6;"unobetter269";"Black";"h6";6;1970-02-26
6;"Alfons2357";"White";"O-O";7;1970-02-27
6;"unobetter269";"Black";"Nf6";8;1970-02-28
6;"Alfons2357";"White";"Nc3";9;1970-03-01
6;"unobetter269";"Black";"Bb4";10;1970-03-02
7;"Alfons2357";"White";"e4";1;1970-03-03
7;"charlesdockindelljr";"Black";"e5";2;1970-03-04
7;"Alfons2357";"White";"Nf3";3;1970-03-05
7;"charlesdockindelljr";"Black";"Nc6";4;1970-03-06
7;"Alfons2357";"White";"Bc4";5;1970-03-07
7;"charlesdockindelljr";"Black";"a6";6;1970-03-08
7;"Alfons2357";"White";"O-O";7;1970-03-09
7;"charlesdockindelljr";"Black";"h6";8;1970-03-10
7;"Alfons2357";"White";"a4";9;1970-03-11
7;"charlesdockindelljr";"Black";"Nf6";10;1970-03-12
8;"Alfons2357";"White";"e4";1;1970-03-13
8;"omaragha7";"Black";"e5";2;1970-03-14
8;"Alfons2357";"White";"Nf3";3;1970-03-15
8;"omaragha7";"Black";"Nc6";4;1970-03-16
8;"Alfons2357";"White";"Bc4";5;1970-03-17
8;"omaragha7";"Black";"Nf6";6;1970-03-18
8;"Alfons2357";"White";"d4";7;1970-03-19
8;"omaragha7";"Black";"Bb4+";8;1970-03-20
8;"Alfons2357";"White";"c3";9;1970-03-21
8;"omaragha7";"Black";"exd4";10;1970-03-22
9;"Alfons2357";"White";"e4";1;1970-03-23
9;"Eljerolol";"Black";"e5";2;1970-03-24
9;"Alfons2357";"White";"Nf3";3;1970-03-25
9;"Eljerolol";"Black";"Nc6";4;1970-03-26
9;"Alfons2357";"White";"Bc4";5;1970-03-27
9;"Eljerolol";"Black";"Nf6";6;1970-03-28
9;"Alfons2357";"White";"d4";7;1970-03-29
9;"Eljerolol";"Black";"exd4";8;1970-03-30
9;"Alfons2357";"White";"Nxd4";9;1970-03-31
9;"Eljerolol";"Black";"Nxd4";10;1970-04-01
10;"Alfons2357";"White";"e4";1;1970-04-02
10;"biaghh";"Black";"e5";2;1970-04-03
10;"Alfons2357";"White";"Nf3";3;1970-04-04
10;"biaghh";"Black";"Nc6";4;1970-04-05
10;"Alfons2357";"White";"Bc4";5;1970-04-06
10;"biaghh";"Black";"h6";6;1970-04-07
10;"Alfons2357";"White";"d4";7;1970-04-08
10;"biaghh";"Black";"exd4";8;1970-04-09
10;"Alfons2357";"White";"Nxd4";9;1970-04-10
10;"biaghh";"Black";"Bc5";10;1970-04-11
11;"Alfons2357";"White";"e4";1;1970-04-12
11;"biaghh";"Black";"e5";2;1970-04-13
11;"Alfons2357";"White";"Nf3";3;1970-04-14
11;"biaghh";"Black";"Nc6";4;1970-04-15
11;"Alfons2357";"White";"Bc4";5;1970-04-16
11;"biaghh";"Black";"h6";6;1970-04-17
11;"Alfons2357";"White";"Nc3";7;1970-04-18
11;"biaghh";"Black";"Bc5";8;1970-04-19
11;"Alfons2357";"White";"O-O";9;1970-04-20
11;"biaghh";"Black";"Nf6";10;1970-04-21
12;"Alfons2357";"White";"e4";1;1970-04-22
12;"vinaynambiar05";"Black";"e5";2;1970-04-23
12;"Alfons2357";"White";"Nf3";3;1970-04-24
12;"vinaynambiar05";"Black";"Nc6";4;1970-04-25
12;"Alfons2357";"White";"Bc4";5;1970-04-26
12;"vinaynambiar05";"Black";"Bc5";6;1970-04-27
12;"Alfons2357";"White";"O-O";7;1970-04-28
12;"vinaynambiar05";"Black";"d6";8;1970-04-29
12;"Alfons2357";"White";"Nc3";9;1970-04-30
12;"vinaynambiar05";"Black";"h6";10;1970-05-01
13;"Alfons2357";"White";"e4";1;1970-05-02
13;"sunnyrao123";"Black";"e5";2;1970-05-03
13;"Alfons2357";"White";"Nf3";3;1970-05-04
13;"sunnyrao123";"Black";"Nc6";4;1970-05-05
13;"Alfons2357";"White";"Bc4";5;1970-05-06
13;"sunnyrao123";"Black";"f6";6;1970-05-07
13;"Alfons2357";"White";"d4";7;1970-05-08
13;"sunnyrao123";"Black";"Na5";8;1970-05-09
13;"Alfons2357";"White";"Bxg8";9;1970-05-10
13;"sunnyrao123";"Black";"Rxg8";10;1970-05-11
14;"Alfons2357";"White";"e4";1;1970-05-12
14;"pavelshakhanin";"Black";"e5";2;1970-05-13
14;"Alfons2357";"White";"Nf3";3;1970-05-14
14;"pavelshakhanin";"Black";"Nc6";4;1970-05-15
14;"Alfons2357";"White";"Bc4";5;1970-05-16
14;"pavelshakhanin";"Black";"Bc5";6;1970-05-17
14;"Alfons2357";"White";"O-O";7;1970-05-18
14;"pavelshakhanin";"Black";"h6";8;1970-05-19
14;"Alfons2357";"White";"c3";9;1970-05-20
14;"pavelshakhanin";"Black";"Nf6";10;1970-05-21
15;"Alfons2357";"White";"e4";1;1970-05-22
15;"frost_12";"Black";"e5";2;1970-05-23
15;"Alfons2357";"White";"Nf3";3;1970-05-24
15;"frost_12";"Black";"Nf6";4;1970-05-25
15;"Alfons2357";"White";"Bc4";5;1970-05-26
15;"frost_12";"Black";"Nc6";6;1970-05-27
15;"Alfons2357";"White";"O-O";7;1970-05-28
15;"frost_12";"Black";"a6";8;1970-05-29
15;"Alfons2357";"White";"d4";9;1970-05-30
15;"frost_12";"Black";"b5";10;1970-05-31
16;"Alfons2357";"White";"e4";1;1970-06-01
16;"M_Taboada";"Black";"e5";2;1970-06-02
16;"Alfons2357";"White";"Nf3";3;1970-06-03
16;"M_Taboada";"Black";"Nc6";4;1970-06-04
16;"Alfons2357";"White";"Bc4";5;1970-06-05
16;"M_Taboada";"Black";"h6";6;1970-06-06
16;"Alfons2357";"White";"d4";7;1970-06-07
16;"M_Taboada";"Black";"exd4";8;1970-06-08
16;"Alfons2357";"White";"Nxd4";9;1970-06-09
16;"M_Taboada";"Black";"Nxd4";10;1970-06-10
17;"Alfons2357";"White";"e4";1;1970-06-11
17;"RicRoque";"Black";"e5";2;1970-06-12
17;"Alfons2357";"White";"Nf3";3;1970-06-13
17;"RicRoque";"Black";"Nc6";4;1970-06-14
17;"Alfons2357";"White";"Bc4";5;1970-06-15
17;"RicRoque";"Black";"h6";6;1970-06-16
17;"Alfons2357";"White";"O-O";7;1970-06-17
17;"RicRoque";"Black";"Na5";8;1970-06-18
17;"Alfons2357";"White";"Bb5";9;1970-06-19
17;"RicRoque";"Black";"Qf6";10;1970-06-20
18;"Alfons2357";"White";"e4";1;1970-06-21
18;"azaroth6";"Black";"e5";2;1970-06-22
18;"Alfons2357";"White";"Nf3";3;1970-06-23
18;"azaroth6";"Black";"Nc6";4;1970-06-24
18;"Alfons2357";"White";"Bc4";5;1970-06-25
18;"azaroth6";"Black";"h6";6;1970-06-26
18;"Alfons2357";"White";"d4";7;1970-06-27
18;"azaroth6";"Black";"exd4";8;1970-06-28
18;"Alfons2357";"White";"Nxd4";9;1970-06-29
18;"azaroth6";"Black";"Nf6";10;1970-06-30
19;"Alfons2357";"White";"e4";1;1970-07-01
19;"CulturedThug";"Black";"e5";2;1970-07-02
19;"Alfons2357";"White";"Nf3";3;1970-07-03
19;"CulturedThug";"Black";"Nc6";4;1970-07-04
19;"Alfons2357";"White";"Bc4";5;1970-07-05
19;"CulturedThug";"Black";"h6";6;1970-07-06
19;"Alfons2357";"White";"O-O";7;1970-07-07
19;"CulturedThug";"Black";"Nf6";8;1970-07-08
19;"Alfons2357";"White";"d4";9;1970-07-09
19;"CulturedThug";"Black";"exd4";10;1970-07-10
20;"Alfons2357";"White";"e4";1;1970-07-11
20;"lorenzolito";"Black";"e5";2;1970-07-12
20;"Alfons2357";"White";"Nf3";3;1970-07-13
20;"lorenzolito";"Black";"Nc6";4;1970-07-14
20;"Alfons2357";"White";"Bc4";5;1970-07-15
20;"lorenzolito";"Black";"f6";6;1970-07-16
20;"Alfons2357";"White";"d4";7;1970-07-17
20;"lorenzolito";"Black";"exd4";8;1970-07-18
20;"Alfons2357";"White";"Nxd4";9;1970-07-19
20;"lorenzolito";"Black";"Qe7";10;1970-07-20
21;"Alfons2357";"White";"e4";1;1970-07-21
21;"Ozanyz08";"Black";"e5";2;1970-07-22
21;"Alfons2357";"White";"Nf3";3;1970-07-23
21;"Ozanyz08";"Black";"Nc6";4;1970-07-24
21;"Alfons2357";"White";"Bc4";5;1970-07-25
21;"Ozanyz08";"Black";"Nd4";6;1970-07-26
21;"Alfons2357";"White";"O-O";7;1970-07-27
21;"Ozanyz08";"Black";"Bc5";8;1970-07-28
21;"Alfons2357";"White";"Nc3";9;1970-07-29
21;"Ozanyz08";"Black";"Nf6";10;1970-07-30
22;"Alfons2357";"White";"e4";1;1970-07-31
22;"RvO91";"Black";"e5";2;1970-08-01
22;"Alfons2357";"White";"Nf3";3;1970-08-02
22;"RvO91";"Black";"Nc6";4;1970-08-03
22;"Alfons2357";"White";"Bc4";5;1970-08-04
22;"RvO91";"Black";"Bc5";6;1970-08-05
22;"Alfons2357";"White";"O-O";7;1970-08-06
22;"RvO91";"Black";"d6";8;1970-08-07
22;"Alfons2357";"White";"d4";9;1970-08-08
22;"RvO91";"Black";"Nf6";10;1970-08-09
23;"Alfons2357";"White";"e4";1;1970-08-10
23;"Kingfrutters";"Black";"e5";2;1970-08-11
23;"Alfons2357";"White";"Nf3";3;1970-08-12
23;"Kingfrutters";"Black";"Nc6";4;1970-08-13
23;"Alfons2357";"White";"Bc4";5;1970-08-14
23;"Kingfrutters";"Black";"Nf6";6;1970-08-15
23;"Alfons2357";"White";"d4";7;1970-08-16
23;"Kingfrutters";"Black";"exd4";8;1970-08-17
23;"Alfons2357";"White";"Nxd4";9;1970-08-18
23;"Kingfrutters";"Black";"Nxd4";10;1970-08-19
24;"Alfons2357";"White";"e4";1;1970-08-20
24;"Pknocks11";"Black";"e5";2;1970-08-21
24;"Alfons2357";"White";"Nf3";3;1970-08-22
24;"Pknocks11";"Black";"Nc6";4;1970-08-23
24;"Alfons2357";"White";"Bc4";5;1970-08-24
24;"Pknocks11";"Black";"h6";6;1970-08-25
24;"Alfons2357";"White";"d4";7;1970-08-26
24;"Pknocks11";"Black";"Nxd4";8;1970-08-27
24;"Alfons2357";"White";"Nxd4";9;1970-08-28
24;"Pknocks11";"Black";"exd4";10;1970-08-29
25;"Alfons2357";"White";"e4";1;1970-08-30
25;"SimeonDuong";"Black";"e5";2;1970-08-31
25;"Alfons2357";"White";"Nf3";3;1970-09-01
25;"SimeonDuong";"Black";"Nc6";4;1970-09-02
25;"Alfons2357";"White";"Bc4";5;1970-09-03
25;"SimeonDuong";"Black";"Nf6";6;1970-09-04
25;"Alfons2357";"White";"d4";7;1970-09-05
25;"SimeonDuong";"Black";"exd4";8;1970-09-06
25;"Alfons2357";"White";"Nxd4";9;1970-09-07
25;"SimeonDuong";"Black";"d5";10;1970-09-08
26;"Alfons2357";"White";"e4";1;1970-09-09
26;"Pedbor";"Black";"e5";2;1970-09-10
26;"Alfons2357";"White";"Nf3";3;1970-09-11
26;"Pedbor";"Black";"Nc6";4;1970-09-12
26;"Alfons2357";"White";"Bc4";5;1970-09-13
26;"Pedbor";"Black";"Qe7";6;1970-09-14
26;"Alfons2357";"White";"O-O";7;1970-09-15
26;"Pedbor";"Black";"Nf6";8;1970-09-16
26;"Alfons2357";"White";"d3";9;1970-09-17
26;"Pedbor";"Black";"d6";10;1970-09-18
27;"Alfons2357";"White";"e4";1;1970-09-19
27;"Parthv15";"Black";"e5";2;1970-09-20
27;"Alfons2357";"White";"Nf3";3;1970-09-21
27;"Parthv15";"Black";"Nc6";4;1970-09-22
27;"Alfons2357";"White";"Bc4";5;1970-09-23
27;"Parthv15";"Black";"d6";6;1970-09-24
27;"Alfons2357";"White";"d4";7;1970-09-25
27;"Parthv15";"Black";"f6";8;1970-09-26
27;"Alfons2357";"White";"d5";9;1970-09-27
27;"Parthv15";"Black";"Nd4";10;1970-09-28
28;"Alfons2357";"White";"e4";1;1970-09-29
28;"KindleLight";"Black";"e5";2;1970-09-30
28;"Alfons2357";"White";"Nf3";3;1970-10-01
28;"KindleLight";"Black";"Nc6";4;1970-10-02
28;"Alfons2357";"White";"Bc4";5;1970-10-03
28;"KindleLight";"Black";"Bc5";6;1970-10-04
28;"Alfons2357";"White";"O-O";7;1970-10-05
28;"KindleLight";"Black";"d6";8;1970-10-06
28;"Alfons2357";"White";"c3";9;1970-10-07
28;"KindleLight";"Black";"Qe7";10;1970-10-08
29;"Alfons2357";"White";"e4";1;1970-10-09
29;"Ukude";"Black";"e5";2;1970-10-10
29;"Alfons2357";"White";"Nf3";3;1970-10-11
29;"Ukude";"Black";"Nc6";4;1970-10-12
29;"Alfons2357";"White";"Bc4";5;1970-10-13
29;"Ukude";"Black";"d6";6;1970-10-14
29;"Alfons2357";"White";"d4";7;1970-10-15
29;"Ukude";"Black";"exd4";8;1970-10-16
29;"Alfons2357";"White";"Nxd4";9;1970-10-17
29;"Ukude";"Black";"Bd7";10;1970-10-18
30;"Alfons2357";"White";"e4";1;1970-10-19
30;"gitzanity";"Black";"e5";2;1970-10-20
30;"Alfons2357";"White";"Nf3";3;1970-10-21
30;"gitzanity";"Black";"Nc6";4;1970-10-22
30;"Alfons2357";"White";"Bc4";5;1970-10-23
30;"gitzanity";"Black";"Na5";6;1970-10-24
30;"Alfons2357";"White";"Bb5";7;1970-10-25
30;"gitzanity";"Black";"c6";8;1970-10-26
30;"Alfons2357";"White";"Ba4";9;1970-10-27
30;"gitzanity";"Black";"b5";10;1970-10-28
31;"Alfons2357";"White";"e4";1;1970-10-29
31;"k9infinity";"Black";"e5";2;1970-10-30
31;"Alfons2357";"White";"Nf3";3;1970-10-31
31;"k9infinity";"Black";"Nc6";4;1970-11-01
31;"Alfons2357";"White";"Bc4";5;1970-11-02
31;"k9infinity";"Black";"d6";6;1970-11-03
31;"Alfons2357";"White";"d4";7;1970-11-04
31;"k9infinity";"Black";"g6";8;1970-11-05
31;"Alfons2357";"White";"dxe5";9;1970-11-06
31;"k9infinity";"Black";"dxe5";10;1970-11-07
32;"Alfons2357";"White";"e4";1;1970-11-08
32;"LeviathanOD";"Black";"e5";2;1970-11-09
32;"Alfons2357";"White";"Nf3";3;1970-11-10
32;"LeviathanOD";"Black";"Nc6";4;1970-11-11
32;"Alfons2357";"White";"Bc4";5;1970-11-12
32;"LeviathanOD";"Black";"Bc5";6;1970-11-13
32;"Alfons2357";"White";"O-O";7;1970-11-14
32;"LeviathanOD";"Black";"d6";8;1970-11-15
32;"Alfons2357";"White";"c3";9;1970-11-16
32;"LeviathanOD";"Black";"Bg4";10;1970-11-17
33;"Alfons2357";"White";"e4";1;1970-11-18
33;"Mr_V1983";"Black";"e5";2;1970-11-19
33;"Alfons2357";"White";"Nf3";3;1970-11-20
33;"Mr_V1983";"Black";"Nc6";4;1970-11-21
33;"Alfons2357";"White";"Bc4";5;1970-11-22
33;"Mr_V1983";"Black";"Nf6";6;1970-11-23
33;"Alfons2357";"White";"d3";7;1970-11-24
33;"Mr_V1983";"Black";"d5";8;1970-11-25
33;"Alfons2357";"White";"exd5";9;1970-11-26
33;"Mr_V1983";"Black";"Nxd5";10;1970-11-27
